Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Estate Address,Estate Phone,Estate Email,Owner Entity,Directory Owner Address,Directory Owner Phone,Directory Owner Email,CEO Name,CEO Phone,CEO Email,HQ City,Scraped HQ Name,Scraped HQ Address,Scraped HQ PIN Code,Scraped HQ Phone,Scraped HQ Website,Latitude,Longitude,Place ID,Google Maps URL,HQ Match Status
89,"DOOTERIAH TEA ESTATE","2335","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",1264.52,443.92,"TRA","P.O. GHOOM DIST. DARJEELING, WEST BENGAL","9593789915","dtkvdarj@gmail.com","K.D. SINGH","10TH FLOOR KRISHNA BUILDING, 224 AJC BOSE ROAD KOLKATA-17","03364505743","dtkv@vsnl.net","K.D. SINGH","03364505743","dtkv@vsnl.net","Kolkata","K.D.SINGH ENTERPRISE","20/1/1N, K.D.SINGH ENTERPRISE, Ballygunge Station Rd, Golpark, Fern Place, Gariahat, Kolkata, West Bengal 700019","700019","082400 66731","",22.5183334,88.3709547,"ChIJX3cH1e53AjoRIBOGvObx3R4","https://maps.google.com/maps/preview/place/20%2F1%2F1N,+K.D.SINGH+ENTERPRISE,+Ballygunge+Station+Rd,+Golpark,+Fern+Place,+Gariahat,+Kolkata,+West+Bengal+700019/@22.5183334,88.3709547,3686a,13.1y/data=!4m2!3m1!1s0x3a0277eed507775f:0x1eddf1e6bc861320","matched"
90,"GIDAPAHAR TEA ESTATE","311","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",119.57,94.34,"DTA","PO:KURSEONG, DIST. DARJEELING, STATE:WEST BENGAL, PIN: 734203","0354-2338014","giddapahar@rediffmail.com","H.K.SHAW","GIDAPAHAR T.E, P.O : KURSEONG, DIST. DARJEELING, STATE : WEST BENGAL","0354-2338014","giddapahar@rediffmail.com","NOT APPLICABLE","","","Darjeeling","Happy Valley Tea Estate","Happy Valley Tea Estate, Lebong Cart Rd, near Darjeeling, Chauk Bazaar, Darjeeling, West Bengal 734101","734101","","https://happyvalleyorganictea.com/",27.0513425,88.25865259999999,"ChIJ5_fbgLsu5DkRFfQNjzjGogQ","https://www.google.com/maps/place/?q=place_id:ChIJ5_fbgLsu5DkRFfQNjzjGogQ","matched"
91,"GOOMTEE TEA ESTATE","2157","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",234.7,134,"TRA","P.O. KURSEONG DIST. DARJEELING, WEST BENGAL","09733045451","rungamattee.jung@gmail.com","MAHANADI TEA COMPANY PVT.","LTD., 24/1A, BALLY GANJ CIRCULAR, ROAD UTTRAYAN BUILDING, KOLKATA-19","09330124797","jungpana@rediffmail.com","SANTANU KRJRIWAL","09330124797","jungpana@rediffmail.com","Kolkata","Victoria Tea Company","1, Ground Floor, Victoria Tea Company, Martin Burn House, Head Quarter, RN Mukherjee Rd, opposite Lal Bazar, Lal Bazar, Kolkata, West Bengal 700001","700001","033 2210 7383","http://www.nectartea.in/",22.572442499999998,88.3516444,"ChIJA6Pf2aV3AjoR3J6chG-IcWM","https://www.google.com/maps/place/?q=place_id:ChIJA6Pf2aV3AjoR3J6chG-IcWM","matched"
92,"JOGMAYA TEA ESTATE","309","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",207.54,107.27,"ITA","P.O. GAYABARI DIST. DARJEELING, WEST BENGAL 734223","8670877700","jogmayatea@yahoo.in","JOGMAYA TEA ESTATE PVT. LTD.","8A, WOOD STREET KOLKATA-16, WB","03322817160","indiateaexp@vsnl.net","M/S NAINA JOHAR","03322817160","indiateaexp@vsnl.net","Kolkata","JOGMAYA TEA FACTORY","V85C+3HQ JOGMAYA TEA FACTORY, Gayabari, West Bengal 734223","734223","","",26.857706099999998,88.32147119999999,"ChIJY_bR1F835DkR41_7hzklE3A","https://www.google.com/maps/place/?q=place_id:ChIJY_bR1F835DkR41_7hzklE3A","matched"
93,"JUNGPANA","0454","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",101.08,75.71,"TRA","PO-KURSEONG,, DIST-DARJEELING,, WEST BENGAL, rungamattee.jung@rediffmail.com","9733045451","rungamattee.jung@rediffmail.com","JUTE & STORES LTD.","90/31,DH ROAD KOLKATA-700038","9330124797","jungpana@rediffmail.com","SANTANU KEJRIWAL","9330124797","jungpana@rediffmail.com","Kolkata","Jute & Stores Ltd","Jute & Stores Ltd, 28/1, Shakespeare Sarani, Elgin, Kolkata, West Bengal 700017","700017","","",22.5438938,88.3553828,"ChIJs0Copxl3AjoRQ82gwceOlks","https://maps.google.com/maps/preview/place/Jute+%26+Stores+Ltd,+28%2F1,+Shakespeare+Sarani,+Elgin,+Kolkata,+West+Bengal+700017/@22.5438938,88.3553828,3685a,13.1y/data=!4m2!3m1!1s0x3a027719a7a840b3:0x4b968ec7c1a0cd43","matched"
94,"LONGVIEW TE","2153","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",1020.62,500.15,"ITA","PO.PANCHABARI,DARJEELING, WEST, BENGAL","9475763001","longview123@gmail.com","LONGVIEW TEA & AGRO LIMITED","15 COLLEGE STREET, KOLKATA -, 700012","","longview123@gmail.com","MOHAN KRISHNAN","9734161819","longview123@gmail.com","Kolkata","Longview Tea & Agro Limited","Longview Tea & Agro Limited, 51, Shakespeare Sarani, Park Circus, Park Street area, Kolkata, West Bengal 700017","700017","","",22.5442189,88.360806,"ChIJHbthXB53AjoRid4uUdcB0ac","https://maps.google.com/maps/preview/place/Longview+Tea+%26+Agro+Limited,+51,+Shakespeare+Sarani,+Park+Circus,+Park+Street+area,+Kolkata,+West+Bengal+700017/@22.5442189,88.360806,3685a,13.1y/data=!4m2!3m1!1s0x3a02771e5c61bb1d:0xa7d101d7512ede89","matched"
95,"MAKAIBARI TEAESTATE","1605","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",570.21,248.18,"DTA","P.O. KURSEONG DIST. DARJEELING,, WEST BENGAL 734203","9733051545","lamatarun@gmail.com","MAKAIBARITEA 7 TRADING CO. PVT. LTD.","MAKAIBARI TEA ESTATE P.O., KURSEONG DIST DARJEELING, WEST BENGAL","9733004577","makaibari.rajah@gmail.com","KULDIP BASU","9830504586","kbasu@btinternate.in","Darjeeling","Makaibari Tea Estate","V756+W87 Makaibari Tea Estate, Pankhabari Rd, Kurseong, West Bengal 734203","734203","091471 27351","https://www.makaibari.com/",26.8597967,88.26079279999999,"ChIJJdXDVMg25DkRQoV0dhfUPjU","https://www.google.com/maps/place/?q=place_id:ChIJJdXDVMg25DkRQoV0dhfUPjU","matched"
96,"MONTEVIOT TEA ESTATE","73","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Partnership",76.6,59.91,"TRA","MONTEVIOT TEA ESTATE P.O:, KURSEONG DIST: DARJEELING","9007021331","te.monteviot@smbootia.com","MR. SANJAY BANSAL","DARJEELING ORGANIC EKTA PVT. DAR, LTD 20, COAL BARTH , HOBKON, ROAD, KOLKATA 700088","9007883169","ambplantation@gmail.com","MR. KRISHNENDU CHATTERJEE","9007883169","ambplantation@gmail.com","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://www.google.com/maps/place/?q=place_id:ChIJmy1rV1h3AjoRRJYSWx77_v4","partial"
97,"MOONDAKOTEE TEA ESTATE","2317","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",563.36,298.78,"DTA","P.O-SONADA ,DIST- JALPAIGURI, 734219","9733029153","moondakoteegarden@gmail.com","MR. SANJAY BANSAL","MOONDAKATEE TEA CO. PVT., LTD., 20 COAL BERTH HOBUKAN ROAD, KOLKATA 88","033-24391927","","K.CHATTERJEE","9007883165","amb.plantation@yahoo.com","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://www.google.com/maps/place/?q=place_id:ChIJmy1rV1h3AjoRRJYSWx77_v4","partial"
98,"MULLOTAR TEA ESTATE","1302","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",448.94,172.69,"DTA","P.O:MAHANADI, DIST.DARJEELING, WEST BENGAL.","0354-2000004","mullotar10@gmail.com","MR. SANJAY BANSAL","20,COAL BERTH, HOBOKEN ROAD, KOLKATA-88","033-24391927","amb.plantation@yahoo.com","SHRI K.CHATTERJEE","033-24391927","amb.plantation@yahoo.com","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://www.google.com/maps/place/?q=place_id:ChIJmy1rV1h3AjoRRJYSWx77_v4","partial"
99,"POBONG TEA ESTATE","2529","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",520.84,166.82,"DTA","P.O: GHOOM, DIST.DARJEELING, WEST BENGAL","9434878611","chottopobong@gmail.com","SRI D.PODDAR & SRI MANOJ","PODDAR, HMP HOUSE,, 4 FAIRLIE PLACE, KOLKATA-01 (W.B)","033-22310271","hmptea@gmail.com","SRI F.L.BABINALL","033-22310271","hmptea@gmail.com","Kolkata","Poddar And Poddar","4d, Poddar And Poddar, 99, Karaya Rd, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","","",22.538876,88.3623831,"ChIJzR05DCB3AjoRcsb6HuO1Jtk","https://www.google.com/maps/place/?q=place_id:ChIJzR05DCB3AjoRcsb6HuO1Jtk","partial"
100,"POTONG","2497","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",411.93,138.44,"None","P.O. BELGACHI,DIST-DARJEELING,WB","033-22822158","","UNITED NATUREX DOT COM (P) LTD","USHA KIRAN BUILDING,, (7THFLOOR) FLAT 7A. 12A, ABANINDRANATH THAKUR, SARANI,KOL-17","033-22822158","","MR. K.C. AGARWAL","033-22822158","","Kolkata","Nature Technologies Pvt Ltd | Software Development Company","13th Floor, Nature Technologies Pvt Ltd | Software Development Company, SRIJAN CORPORATE PARK, PS, GP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","700091","033 4004 1637","",22.568776,88.434192,"ChIJu42oy-Z1AjoRXEFJv8Lvq6w","https://www.google.com/maps/place/?q=place_id:ChIJu42oy-Z1AjoRXEFJv8Lvq6w","partial"
101,"ROHINI TEA ESTATE","2074","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",426,142,"ITA","KURSEONG,DARJEELING,WEST, BENGAL","03542510831","","SONA TEA LIMITED","ARJUN ENCLAVE,TEA AUCTION, ROAD,SILIGURI","03542510831","gopaldhara@gmail.com","S.K.SARIA","03542510831","shivksaria@gmail.com","Siliguri","Surajmukhi Tea Private Limited","Surajmukhi Tea Private Limited, Madhuban Complex, Zilla Parishad Rd, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001","734001","","https://www.surajmukhiteas.com/",26.743212399999997,88.44757609999999,"ChIJq6qqqhZB5DkRberHCZhcsBI","https://www.google.com/maps/place/?q=place_id:ChIJq6qqqhZB5DkRberHCZhcsBI","matched"
102,"SELIMHILL","1157","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",398.78,176.51,"TRA","PO-TINDHARIA, DIST -, DARJEELING,WB","94340 50793","","THE PEERLESS TEA &","INDUSTRIES LTD, 240B,AJC ROADBOSE ROAD,3RD, FLOOR, KOLKATA-7000,WB20","033-22832947","","MAHENDRA AGARWAALA","033-22832947","","Kolkata","Ego Bar - The Peerless Inn","H972+2HF Ego Bar - The Peerless Inn, Peerless Inn Hotel, 12, Jawaharlal Nehru Road, New Market Area, Dharmatala, Taltala, Esplanade, Kolkata, West Bengal 700013","700013","033 4400 3900","",22.5625502,88.3514098,"ChIJ76z5Eal3AjoRf_WHNN5-kxc","https://www.google.com/maps/place/?q=place_id:ChIJ76z5Eal3AjoRf_WHNN5-kxc","partial"
103,"SEPOYDHOORAH TEA ESTATE","DJ-127","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Partnership",317.86,138.86,"DTA","P.O.- TINDHARIA,DIST- DARJEELING","9333613671","","MR. SANJAY BANSAL","SEPAYDHOORAH TEA CO PVT., LTD., 20 COAL BERTH HOBUKAN ROAD, KOLKATA 88","033-24391927","","K.CHATTERJEE","9007883165","amb.plantation@yahoo.com","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://www.google.com/maps/place/?q=place_id:ChIJmy1rV1h3AjoRRJYSWx77_v4","partial"
104,"SINGELL TEA ESTATE","47","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",554.54,242.46,"TRA","SINGELL TEA ESTATE P.O ST. MARY'S, KURSEONG DIST: DARJEELING","9434079904","tpisgl@gmail.com","SINGELL TEA &AGRICULTURAL","INDUSTRIES LTD., SINGELL TEA &AGRICULTURAL, INDUSTRIES LTD CHOWRANGEE, MANSION 30, J.N ROAD KOLKATA, 70 0016","033-22291660,033-22293324","tpi@vsnl.com","MR. N SENGUPTA","033-22291660,033-22293324","tpi@vsnl.com","Kolkata","Singell Tea Bungalow","Singell Tea Bungalow, Singel Tea Garden, Kurseong, West Bengal 734220","734220","098313 75612","",26.893857999999998,88.27588279999999,"ChIJBfiQ0QUx5DkRh6BPk9GTy9o","https://www.google.com/maps/place/?q=place_id:ChIJBfiQ0QUx5DkRh6BPk9GTy9o","matched"
105,"SIVITAR TEA ESTATE","1303","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",525.3,148.92,"TRA","P.O. MAHANANDI,DIST - DARJEELING","0354200007","te.sivitar1@gmail.com","MR. SANJAY BANSAL","SIVITAR TEA PVT. LTD., 20 COAL BERTH,HOBOKEN, RD,KOL -88,KOLKATA-1","03324391927","","K.CHATTERJEE","9007883165","amb.plantation@yahoo.com","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://www.google.com/maps/place/?q=place_id:ChIJmy1rV1h3AjoRRJYSWx77_v4","partial"
106,"SPRINGSIDE","1155","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",220.67,146.02,"DTA","PQST- KURSEONG DIST -, DARJEELING","9832056093","castletan@goodrick.e.com","AMGOORIE INDIA LIMITED","14 GURUSADAY ROAD.KOLKATA-, 19","033 22873067","hr@goodricke.com","A.N. SINGH","00 22873067","hr@goodricke.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
107,"TINDHARIA TEA ESTATE","45","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Partnership",343.7,154.91,"DTA","P.O : TINDHARIA, DIST : DARJEELING, WEST BENGAL-734223","9614933382","","SRI A.KANORIA & S.KANORIA","10, PRINCEP STREET, KOLKATA-72","033-22129750","balaji@cal.vsnl.net.in","SRI A.KANORIA & S.KANORIA","033-22129750","balaji@cal.vsnl.net.in","Kolkata","Kanoria House","House, 8/5, Kanoria House, Kanoria, 3, Alipore Rd, Alipore, Kolkata, West Bengal 700027","700027","","",22.5321495,88.3284694,"ChIJQ5YKyBt3AjoRS9JohPEPkFM","https://www.google.com/maps/place/?q=place_id:ChIJQ5YKyBt3AjoRS9JohPEPkFM","partial"
108,"ARYA TEA ESTATE","2192","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",228.65,123.26,"TRA","RAJBARI-P.O DARJEELING-I, WEST, BENGAL","9832042372","arya.sry@gmail.com","RAM KISHORE BANSAL","KOLKATA-01","033-2287 8631/34/35","aryatea@vsnl.net","RAM KISHORE BANSAL","033-2287 8631/34/35","aryatea@vsnl.net","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://maps.google.com/maps/preview/place/Bansal+Medical+Services+%E2%80%93+Diagnostic+Centre+in+Ekbalpur,+Kolkata,+Rampuria+House,+57%2F2F,+Diamond+Harbour+Rd,+Naptani+Bagan,+Mominpore,+Kolkata,+West+Bengal+700023/@22.5309734,88.3261703,3685a,13.1y/data=!4m2!3m1!1s0x3a027758576b2d9b:0xfefefb1e5b129644","partial"
109,"BADAMTAM TEA ESTATE","B-86","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",880.1,321.05,"TRA","P.O. LEBONG DIST. DARJEELING, WEST BENGAL","9733001363","bdmtam@goodricke.com","GOODRICKE GROUP LIMITED","GGL, CAMELLIA HOUSE 14, GURUSADAY ROAD KOLKATA-19, E-, Mail :subrotobanerjee@goodricke.co, m","0332287257","subrotobanerjee@goodricke.co","A.N. SINGH","0332287257","subrotobanerjee@goodricke.co","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
110,"BANNOCKBURN TEA ESTATE","F-8/6","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",283.8,136.58,"TRA","P.O. LEBONG DIST. DARJEELING (WB)","9339145064","bdtbannockburnte@yahoo.in","B.D. TEA ESTATES PVT. LTD.","M/S B.D. TEA ESTATES PVT. LTD, CRESCENT TOWER 7TH FLOOR, 229AJC BOSE ROAD KOLKATA-20","03322817486","bdtcpt@dataone.in","B. K. TIBREWAL","03322817486","bdtcpt@dataone.in","Kolkata","Halmira Estate Tea Private Limited","Halmira Estate Tea Private Limited, 23, Pankaj Mullick Sarani, near st.lawrence school, Garcha, Ballygunge, Kolkata, West Bengal 700019","700019","033 3502 5701","https://www.halmiratea.com/",22.5288479,88.355651,"ChIJM71Ogi93AjoRcc12reVUb24","https://www.google.com/maps/place/?q=place_id:ChIJM71Ogi93AjoRcc12reVUb24","matched"
111,"BARNESBEG TEA GARDEN","B-90","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",288.68,132,"ITA","DARJEELING P.O., NO. 42 POSTBOX-","","","GOODRICKE GROUP LIMITED","CAMELILIA HOUSE","","","A. N. SINGH","","","Other / Unspecified","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
112,"DILARAM","2296","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",358.08,196.82,"ITA","PO TUNG, DIST DARJEELING, WB","9434046957","jcpande@goodricke.com","AMGOORIE INDIA LIMITED","CAMELLIA HOUSE , 14,, GURUSADAY ROAD, KOLKATA-19","033-22873067","ansingh@goodricke.com","A N SINGH","033-22873067","ansingh@goodricke.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
113,"EDENVALE","7","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",41.26,28.34,"ITA","PO-TUNG, DIST DARJEELING,WB","9434046957","mhope@goodricke.com","AMGOORIE INDIA LIMITED","CAMELLIA HOUSE,14,, GURUSADAY ROAD, KOLKATA-19","03322873067","ansing@goodricke.com","A . N. SINGH","03322873067","ansing@goodricke.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
114,"GING TEA ESTATE","F-8\2","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",632.14,254.11,"TRA","LEBONG DARJEELING","093312-62149","bdtgingte@yahoo.in","BD TEA ESTATE PVT. LTD.","BD TE PVT LTD 229,A.J. C. BOSE, ROAD","22817486","bdtcpt@dataone.in","B K TIBREWAL","0","bdtcpt@dataone.in","Kolkata","Halmira Estate Tea Private Limited","Halmira Estate Tea Private Limited, 23, Pankaj Mullick Sarani, near st.lawrence school, Garcha, Ballygunge, Kolkata, West Bengal 700019","700019","033 3502 5701","https://www.halmiratea.com/",22.5288479,88.355651,"ChIJM71Ogi93AjoRcc12reVUb24","https://www.google.com/maps/place/?q=place_id:ChIJM71Ogi93AjoRcc12reVUb24","matched"
115,"GLENBURN TEA ESTATE","D-66","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",758.85,285.49,"ITA","P.O.DARJEELING,DIST DARJEELING","9832045945","glenburn1859@yahoo.com","DLX LIMITED","KANAK BUILDING,41 CHOWRINGH KAN, ROAD,KOLKATA-700071","9832045945","glenburn1859@yahoo.com","MR.K.N.NOWROJEE","9831211142","dlap@live.com","Kolkata","DLX Limited","DLX Limited, Kanak Building, Kanak Tower, 41, Jawaharlal Nehru Rd, Park Street area, Kolkata, West Bengal 700071","700071","033 2288 3970","",22.5499021,88.3492047,"ChIJWyi-lhF3AjoRMDCeofbdfLo","https://maps.google.com/maps/preview/place/DLX+Limited,+Kanak+Building,+Kanak+Tower,+41,+Jawaharlal+Nehru+Rd,+Park+Street+area,+Kolkata,+West+Bengal+700071/@22.5499021,88.3492047,3685a,13.1y/data=!4m2!3m1!1s0x3a02771196be285b:0xba7cddf6a19e3030","matched"
116,"HAPPY VALLEY TEA ESTATE","100","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",177.36,122.82,"DTA","PO-DARJEELING DIST-DARJEELING, WEST BENGAL","9434378088","ddas29@gmail.com","MR. SANJAY BANSAL","KOLKATA, E-, Mail :ambplantation@ambootia.com","03324391966","ambplantation@ambootia.com","MR. SANJAY BANSAL","03324391966","ambplantation@ambootia.com","Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata","Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023","700023","084201 09409","http://www.bansalmedical.com/",22.5309734,88.3261703,"ChIJmy1rV1h3AjoRRJYSWx77_v4","https://www.google.com/maps/place/?q=place_id:ChIJmy1rV1h3AjoRRJYSWx77_v4","partial"
117,"KALEJ VALLEY TEA ESTATE","2334","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",500.54,237.56,"TRA","P.O. GHOOM DIST., DARJEELING,WEST BENGAL","9735971934","dtkv.kv@gmail.com","K.D. SINGH","M/S DOOTERIAH & KALEJ VALLEY, TEA ESTATES PVT. LTD. 10TH, FLOOR KRISHNA BUILDING, 224AJC BOSE ROAD, KOLKATA-17","03364505743","dtkv@vsnl.net","DEBABRATA MITRA","8830017460","debabrata.mitra@alchemist.co","Kolkata","K.D.SINGH ENTERPRISE","20/1/1N, K.D.SINGH ENTERPRISE, Ballygunge Station Rd, Golpark, Fern Place, Gariahat, Kolkata, West Bengal 700019","700019","082400 66731","",22.5183334,88.3709547,"ChIJX3cH1e53AjoRIBOGvObx3R4","https://maps.google.com/maps/preview/place/20%2F1%2F1N,+K.D.SINGH+ENTERPRISE,+Ballygunge+Station+Rd,+Golpark,+Fern+Place,+Gariahat,+Kolkata,+West+Bengal+700019/@22.5183334,88.3709547,3686a,13.1y/data=!4m2!3m1!1s0x3a0277eed507775f:0x1eddf1e6bc861320","matched"
118,"LIZAHILL TEA ESTATE","1954","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",183.67,114.67,"DTA","RISHEEHAT TEA, ESTATE,PO.RISHEEHAT, DARJEELING","03542272119","risheehatteaestate@yahoo.in","JAYSHREE TEA & INDUSTRIES","LTD., 10, CAMAC STREET, INDUSTRIAL, HOUSE, 15TH FLOOR, KOLKATA -, 700017","03322827531","dpm@jayshreetea.com","D.P.MAHESHWARI","03322827531","dpm@jayshreetea.com","Kolkata","Jayshree Tea & Industries Ltd","Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071","700071","033 2282 7531","http://www.jayshreetea.com/",22.542876099999997,88.35147309999999,"ChIJ-S7YuCZ3AjoRKRx_R32tAT8","https://www.google.com/maps/place/?q=place_id:ChIJ-S7YuCZ3AjoRKRx_R32tAT8","matched"
