sl,name,type,region,district,company,decision_maker,hq_city,hq_address,phone,email,scale,reg_no
85,SYLEE,Organized Estate,Darjeeling Hills,Darjeeling,OCTIVIOUS TEA & INDIA LTD.,MR. SUSHIL KR JAIN,Kolkata,"Octavius Tea & Industries Ltd., 2, Transport Depot Rd, Alipore Mint Colony, Alipore, Kolkata, West Bengal 700088",9331289107,sylee@octaviustea.com,591.4 Ha,C-59
86,UPPER FAGU,Organized Estate,Darjeeling Hills,Darjeeling,SOMBARIA CO LTD,MR ASHOK CHATTERJEE,Kolkata,"Shakambhari Ispat & Power Limited, Diamond Prestige 41A, A. J. C. Bose Road Room No. 801, 8th Floor, Kolkata, West Bengal 700017",033 6625 5252,upperfagu@yahoo.co.in,121.3 Ha,2327
87,AMBOOTIA TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,DARJEELING ORGANIC TEA,MR SANJOY PRAKASH BANSAL,Kolkata,"Darjeeling Organictea Estates Private Limited., 4A, Camac St, Kankaria Estates, Elgin, Kolkata, West Bengal 700071",900702132,ambootiagarden@gmail.com,346.9 Ha,2020
88,CASTLETON TEA GARDEN,Organized Estate,Darjeeling Hills / Terai,Darjeeling,AMGOORIE INDIA LIMITED,MR A N SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,castleton@goodricke.com,173.0 Ha,2025
89,DOOTERIAH TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,K.D. SINGH,K.D. SINGH,Kolkata,"20/1/1N, K.D.SINGH ENTERPRISE, Ballygunge Station Rd, Golpark, Fern Place, Gariahat, Kolkata, West Bengal 700019",082400 66731,dtkvdarj@gmail.com,443.9 Ha,2335
90,GIDAPAHAR TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,H.K.SHAW,NOT APPLICABLE,Darjeeling,"Happy Valley Tea Estate, Lebong Cart Rd, near Darjeeling, Chauk Bazaar, Darjeeling, West Bengal 734101",0354-2338014,giddapahar@rediffmail.com,94.3 Ha,311
91,GOOMTEE TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MAHANADI TEA COMPANY PVT.,SANTANU KRJRIWAL,Kolkata,"1, Ground Floor, Victoria Tea Company, Martin Burn House, Head Quarter, RN Mukherjee Rd, opposite Lal Bazar, Lal Bazar, Kolkata, West Bengal 700001",033 2210 7383,rungamattee.jung@gmail.com,134.0 Ha,2157
92,JOGMAYA TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,JOGMAYA TEA ESTATE PVT. LTD.,M/S NAINA JOHAR,Kolkata,"V85C+3HQ JOGMAYA TEA FACTORY, Gayabari, West Bengal 734223",8670877700,jogmayatea@yahoo.in,107.3 Ha,309
93,JUNGPANA,Organized Estate,Darjeeling Hills / Terai,Darjeeling,JUTE & STORES LTD.,SANTANU KEJRIWAL,Kolkata,"Jute & Stores Ltd, 28/1, Shakespeare Sarani, Elgin, Kolkata, West Bengal 700017",9733045451,rungamattee.jung@rediffmail.com,75.7 Ha,0454
94,LONGVIEW TE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,LONGVIEW TEA & AGRO LIMITED,MOHAN KRISHNAN,Kolkata,"Longview Tea & Agro Limited, 51, Shakespeare Sarani, Park Circus, Park Street area, Kolkata, West Bengal 700017",9475763001,longview123@gmail.com,500.1 Ha,2153
95,MAKAIBARI TEAESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MAKAIBARITEA 7 TRADING CO. PVT. LTD.,KULDIP BASU,Darjeeling,"V756+W87 Makaibari Tea Estate, Pankhabari Rd, Kurseong, West Bengal 734203",091471 27351,lamatarun@gmail.com,248.2 Ha,1605
96,MONTEVIOT TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MR. SANJAY BANSAL,MR. KRISHNENDU CHATTERJEE,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,te.monteviot@smbootia.com,59.9 Ha,73
97,MOONDAKOTEE TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MR. SANJAY BANSAL,K.CHATTERJEE,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,moondakoteegarden@gmail.com,298.8 Ha,2317
98,MULLOTAR TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MR. SANJAY BANSAL,SHRI K.CHATTERJEE,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,mullotar10@gmail.com,172.7 Ha,1302
99,POBONG TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,SRI D.PODDAR & SRI MANOJ,SRI F.L.BABINALL,Kolkata,"4d, Poddar And Poddar, 99, Karaya Rd, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",9434878611,chottopobong@gmail.com,166.8 Ha,2529
100,POTONG,Organized Estate,Darjeeling Hills / Terai,Darjeeling,UNITED NATUREX DOT COM (P) LTD,MR. K.C. AGARWAL,Kolkata,"13th Floor, Nature Technologies Pvt Ltd | Software Development Company, SRIJAN CORPORATE PARK, PS, GP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",033 4004 1637,-,138.4 Ha,2497
101,ROHINI TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,SONA TEA LIMITED,S.K.SARIA,Siliguri,"Surajmukhi Tea Private Limited, Madhuban Complex, Zilla Parishad Rd, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001",03542510831,shivksaria@gmail.com,142.0 Ha,2074
102,SELIMHILL,Organized Estate,Darjeeling Hills / Terai,Darjeeling,THE PEERLESS TEA &,MAHENDRA AGARWAALA,Kolkata,"H972+2HF Ego Bar - The Peerless Inn, Peerless Inn Hotel, 12, Jawaharlal Nehru Road, New Market Area, Dharmatala, Taltala, Esplanade, Kolkata, West Bengal 700013",033 4400 3900,-,176.5 Ha,1157
103,SEPOYDHOORAH TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MR. SANJAY BANSAL,K.CHATTERJEE,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,amb.plantation@yahoo.com,138.9 Ha,DJ-127
104,SINGELL TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,SINGELL TEA &AGRICULTURAL,MR. N SENGUPTA,Kolkata,"Singell Tea Bungalow, Singel Tea Garden, Kurseong, West Bengal 734220",098313 75612,tpisgl@gmail.com,242.5 Ha,47
105,SIVITAR TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,MR. SANJAY BANSAL,K.CHATTERJEE,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,te.sivitar1@gmail.com,148.9 Ha,1303
106,SPRINGSIDE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,AMGOORIE INDIA LIMITED,A.N. SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,castletan@goodrick.e.com,146.0 Ha,1155
107,TINDHARIA TEA ESTATE,Organized Estate,Darjeeling Hills / Terai,Darjeeling,SRI A.KANORIA & S.KANORIA,SRI A.KANORIA & S.KANORIA,Kolkata,"House, 8/5, Kanoria House, Kanoria, 3, Alipore Rd, Alipore, Kolkata, West Bengal 700027",9614933382,balaji@cal.vsnl.net.in,154.9 Ha,45
108,ARYA TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,RAM KISHORE BANSAL,RAM KISHORE BANSAL,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,arya.sry@gmail.com,123.3 Ha,2192
109,BADAMTAM TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,GOODRICKE GROUP LIMITED,A.N. SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,bdmtam@goodricke.com,321.1 Ha,B-86
110,BANNOCKBURN TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,B.D. TEA ESTATES PVT. LTD.,B. K. TIBREWAL,Kolkata,"Halmira Estate Tea Private Limited, 23, Pankaj Mullick Sarani, near st.lawrence school, Garcha, Ballygunge, Kolkata, West Bengal 700019",033 3502 5701,bdtbannockburnte@yahoo.in,136.6 Ha,F-8/6
111,BARNESBEG TEA GARDEN,Organized Estate,Darjeeling Hills,Darjeeling,GOODRICKE GROUP LIMITED,A. N. SINGH,Other / Unspecified,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,-,132.0 Ha,B-90
112,DILARAM,Organized Estate,Darjeeling Hills,Darjeeling,AMGOORIE INDIA LIMITED,A N SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,jcpande@goodricke.com,196.8 Ha,2296
113,EDENVALE,Organized Estate,Darjeeling Hills,Darjeeling,AMGOORIE INDIA LIMITED,A . N. SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,mhope@goodricke.com,28.3 Ha,7
114,GING TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,BD TEA ESTATE PVT. LTD.,B K TIBREWAL,Kolkata,"Halmira Estate Tea Private Limited, 23, Pankaj Mullick Sarani, near st.lawrence school, Garcha, Ballygunge, Kolkata, West Bengal 700019",033 3502 5701,bdtgingte@yahoo.in,254.1 Ha,F-8\2
115,GLENBURN TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,DLX LIMITED,MR.K.N.NOWROJEE,Kolkata,"DLX Limited, Kanak Building, Kanak Tower, 41, Jawaharlal Nehru Rd, Park Street area, Kolkata, West Bengal 700071",033 2288 3970,glenburn1859@yahoo.com,285.5 Ha,D-66
116,HAPPY VALLEY TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,MR. SANJAY BANSAL,MR. SANJAY BANSAL,Kolkata,"Bansal Medical Services – Diagnostic Centre in Ekbalpur, Kolkata, Rampuria House, 57/2F, Diamond Harbour Rd, Naptani Bagan, Mominpore, Kolkata, West Bengal 700023",084201 09409,ddas29@gmail.com,122.8 Ha,100
117,KALEJ VALLEY TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,K.D. SINGH,DEBABRATA MITRA,Kolkata,"20/1/1N, K.D.SINGH ENTERPRISE, Ballygunge Station Rd, Golpark, Fern Place, Gariahat, Kolkata, West Bengal 700019",082400 66731,dtkv.kv@gmail.com,237.6 Ha,2334
118,LIZAHILL TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,D.P.MAHESHWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,risheehatteaestate@yahoo.in,114.7 Ha,1954
119,MARGARET'S HOPE,Organized Estate,Darjeeling Hills,Darjeeling,AMGOORIE INDIA LIMITED,A N SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,ansingh@goodricke.com,361.0 Ha,E-47
120,NORTH TUKVAR,Organized Estate,Darjeeling Hills,Darjeeling,NORTH TUKVAR TEA CO. LTD.,D.P. MAHESHWARI,Kolkata,"Industry House, North Tukvar Tea Company Limited, 10, Camac St, Elgin, Kolkata, West Bengal 700071",9647700815,aloksharma66@gmail.com,195.5 Ha,2463
121,NURBONG TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,DARJEELING ORGANIC TEA,K.C. CHATTERJEE,Kolkata,"Darjeeling Organictea Estates Private Limited., 4A, Camac St, Kankaria Estates, Elgin, Kolkata, West Bengal 700071",9733221506,nurbonggarden3@gmail.com,271.2 Ha,218
122,OAKS TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,S.K.AGARWAWAL,MR MAHENDRA AGARWALA,Kolkata,"S K Agrawal and Co Chartered Accountants LLP, Agrawal and Co Chartered Accountants LLP The chambers, S K, Rajdanga Main Rd, opposite Gitanjali Stadium, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107",033 4008 9902,-,138.9 Ha,2094
123,ORANGE VALLEY TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SS BAGARIA,B.K. BIHANI,Kolkata,"4th Floor, Bagaria Trading Limited, 16, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2210 7789,orangevalleyte@rediffmail.com,189.5 Ha,1959
124,PANDAM,Organized Estate,Darjeeling Hills,Darjeeling,WEST BENGAL TEA,M. GUHA ROY,Kolkata,"4th floor, Bengal Tea & Fabrics Limited, Century Tower, 45, Shakespeare Sarani, opposite Kala Mandir, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017",033 2283 6416,webtea@vsnl.net,131.3 Ha,2063
125,PHOOBSERING TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,B.D. TEA ESTATES PVT. LTD.,B K TEBREWAL,Kolkata,"Halmira Estate Tea Private Limited, 23, Pankaj Mullick Sarani, near st.lawrence school, Garcha, Ballygunge, Kolkata, West Bengal 700019",033 3502 5701,bdtphobseringte@yahoo.com,235.8 Ha,F8/3
126,RISHEEHAT TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,D.P.MAHESHWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,risheehatteaestate@yahoo.in,141.8 Ha,2194
127,RUNGLEE RUNGLIOT,Organized Estate,Darjeeling Hills,Darjeeling,DUNCANS INDUSTRIES LIMITED,M.GURBAXANI,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,rungtg@rediffmail.com,184.0 Ha,B-46
128,RUNGMOOK/CEDARS TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,WEST BENGAL TEA,WEST BENGAL TEA,Kolkata,"4th floor, Bengal Tea & Fabrics Limited, Century Tower, 45, Shakespeare Sarani, opposite Kala Mandir, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017",033 2283 6416,webtea@vsnl.net,460.7 Ha,2684
129,S00M TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,ASHOK KUMAR LOHIA,0,Kolkata,"Ashok Kumar Shaw LICI, 23, R.N.Banerjee Rd, Narkel Bagan, Shibbati Para, Khardah, Khardaha, West Bengal 700117",919339145068,soomte@chamong.com,237.3 Ha,D-70
130,SHREE DWARIK T E,Organized Estate,Darjeeling Hills,Darjeeling,MR A K LOHIA,MR A K LOHIA,Kolkata,"7th Floor, Room 711, S.S Lohia & Co., 27, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",9339145068,soomte@chamong.com,181.1 Ha,2421
131,SINGTOM TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,MOHAN KUMAR CHIRIMAR,MOHAN KUMAR CHIRIMAR,Kolkata,"Raghunath Exports Company, 4E, Park Plaza, North Block, 71 Park Street, Kolkata, West Bengal 700016",098366 54681,mohan@rexiindia.net,236.5 Ha,2031
132,TEESTA VALLEY TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,TEESTA VALLEY TEA CO LTD,A.K. ROY,Kolkata,"Teesta Valley Tea Co. Ltd., 5 & 7, Netaji Subhas Road, Kolkata, West Bengal 700001",033 2248 8704,adev@teestavalley.com,297.5 Ha,P-17
133,TUKVAR,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,D.P. MAHESHWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,rajeshpareek2007@rediffmail.com,436.7 Ha,2368
134,TUMSONG TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,SYCOTTA TEA CO. PVT. LTD.,MR.ASHIOK KUMAR LOHIA,Kolkata,"1st Floor, Asian Tea Company Private Limited, Gajraj Point, 209 A, AJC Bose Rd, Park Circus, Elgin, Kolkata, West Bengal 700017",033 4044 1201,tumsongte@chamong.com,113.8 Ha,D/18
135,TURZUM TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,JAYSHREE TEA & INDUSTRIES,SHRI D.P. MAHESWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,sungmaorganic1@yahoo.co.in,145.9 Ha,2590
136,ASHAPUR TEA ESTATE,Organized Estate,Terai,Darjeeling,THE ASHAPUR TEA CO. LTD.,MR. TULSIDAS SANYAL,Kolkata,"The Ashapur Tea Co Ltd, 97, Ballygunge Gardens Rd, Golpark, Ballygunge Gardens, Keyatala, Kolkata, West Bengal 700019",03532559118,ashapurteaestate@gmail.com,125.1 Ha,252
137,ATAL,Organized Estate,Terai,Darjeeling,ATAL TEA CO. (1943) LTD.,ARVIND KUMAR,Kolkata,"M7Q2+RF4 Atal Tea Estate Factory, Atal, West Bengal 734429",0353-2005205,atalteaestate@gmail.com,360.5 Ha,566
138,AZAMABAD,Organized Estate,Terai,Darjeeling,AZAMABAD TEA CO. (P) LTD,AJAY GARG,Siliguri,"Azamabad Tea Co. (P) Ltd., No. 2, Sevoke Rd, Ward 11, Bankim Nagar, Siliguri, West Bengal 734001",0353-2004059,ajaigargslg@yahoo.co.in,131.1 Ha,2327
139,BELGACHI TEA ESTATE,Organized Estate,Terai,Darjeeling,462.83,37970,Siliguri,"P9HP+HP2 REGIONAL RESPONSE CENTRE,(2BN NDRF)SILIGURI, Paribahan Nagar, Ghokla Jote, Matigara, Siliguri, West Bengal 734010",9609775851,amit.mlagroup@gmail.com,462.8 Ha,2162
140,BHOJNARAIN TEA ESTATE,Organized Estate,Terai,Darjeeling,BHOJNARAIN TEA CO. LTD,BHOJNARAIN TEA CO. LTD,Siliguri,"Bhojnarayan Tea Garden, Nembutari, Hetmuri, West Bengal 734426",0353-2004181,-,246.8 Ha,1953
141,BIJOYNAGAR T.E.,Organized Estate,Terai,Darjeeling,BIJOYNAGAR TEA CO. LTD,BIJOYNAGAR TEA CO. LTD,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 2248 8672,bijoynagarte@gmail.com,274.4 Ha,
142,FULBARI PATAN TEA ESTATE,Organized Estate,Terai,Darjeeling,FULBARI PATAN TEA ESTATE,KAMAL SINGH BAID,Kolkata,"Q84J+CXM Fulbaritea estate, Fulbari Pataner Chhat, West Bengal 734010",03532575531,-,99.3 Ha,176
143,GUNGARAM TEA ESTATE,Organized Estate,Terai,Darjeeling,MR. G.P.GOENKA,MR. A.K.GOEL,Kolkata,"RP Goenka International School, 34 1/1, Diamond Harbour Rd, Majherhat, Mominpore, Kolkata, West Bengal 700027",033 7155 8000,gung@duncans-tea.com,642.3 Ha,B32
144,HANSQUA TEA ESTATE,Organized Estate,Terai,Darjeeling,R.D TEA LTD,R.D TEA LTD,Kolkata,"R.D. Tea Limited, 4, Middleton St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071",090079 02650,hansquatea@gmail.com,545.4 Ha,B-35
145,JAYANTIKA,Organized Estate,Terai,Darjeeling,JAYSHREE TEA & INDUSTRIES,D P MAHASHWARI,Kolkata,"Jayshree Tea & Industries Ltd, 10, Camac St, Elgin, Kolkata, West Bengal 700071",033 2282 7531,jayantika@rediffmail.com,585.2 Ha,2539
146,KIRAN CHANDRA,Organized Estate,Terai,Darjeeling,NEW DARJEELING UNION TEA,NEW DARJEELING UNION TEA,Siliguri,"Darjeeling Tea House, Uttarapan market complex, Hill Cart Rd, Ward 1, Patiram Jote, Siliguri, West Bengal 734003",0353-2004176,ndutcoslg123d@gmail.com,270.4 Ha,118
147,LOHAGARH TEA ESTATE,Organized Estate,Terai,Darjeeling,AJIT KUMAR AGARWAL,V.D. DUA,Siliguri,"Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010",03532004116,teraitea@gmail.com,226.4 Ha,1671
148,MANJHA TEA ESTATE,Organized Estate,Terai,Darjeeling,THE CORONATION TEA CO. LTD.,S.K. KALYANI,Kolkata,"Teesta Valley Tea Co. Ltd., 5 & 7, Netaji Subhas Road, Kolkata, West Bengal 700001",033 2248 8704,-,215.5 Ha,146
149,MARAPUR TEA ESTATE,Organized Estate,Terai,Darjeeling,AJIT PRASAD,AJIT PRASAD,Siliguri,"Bagrakote Oppo, Ajit Prasad, FCI Godown, Hakimpara, Subhas Pally, Siliguri, West Bengal 734001",7679180621,-,137.4 Ha,254
150,MERRYVIEW TEA ESTATE,Organized Estate,Terai,Darjeeling,GIRDHAR GOPAL DALMIA,G.G. DALMIA,Kolkata,"16th floor, Dalmia Bharat Group Regional Office - East, Merlin Acropolis, 1858, Rajdanga Main Rd, Shantipally, Sector B, East Kolkata Twp, Kolkata, West Bengal 700107",033 6701 2600,kdas@midgroup.in,396.1 Ha,666
151,NUXALBARI,Organized Estate,Terai,Darjeeling,NUXALBARI TEA CO LTD,LALITA JABBAR,Kolkata,"Nuxalbari Tea Factory & Office, Nuxalbari Tea Estate, Naxalbari, Hoda Bhitar Chhat, West Bengal 734429",096411 00574,nuxalbariteaestate@gmail.com,427.9 Ha,32
152,ORD TERAI TEA GARDEN,Organized Estate,Terai,Darjeeling,DUARS UNION TEA CO. LTD,B.P. AGGARWAL,Kolkata,"Duars Union Tea Co. Limited, 3A, Ripon St, Near Anthropological Survey of India, Esplanade, Taltala, Kolkata, West Bengal 700016",033 2227 3388,duars@vsnl.net,456.5 Ha,2634
153,PAHARGOOMIAH TEA ESTATE,Organized Estate,Terai,Darjeeling,PAHARGOOMIAH TEA,SUDARSHAN JALAN,Kolkata,"6TH FLOOR, Pahargoomiah Tea Industries Pvt Ltd, Nicco House, 2, Hare St, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2248 9916,pahargoomiah-te@yahaoo.com,694.8 Ha,2526
154,PANIGHATA,Organized Estate,Terai,Darjeeling,THE NEW TRAI ASSOCIATION LTD DEEPAK BERLIA,"LGHACHI, DIST-",Kolkata,"Trustea Sustainable Tea Foundation, Chambers Mall, 506, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107",033 4073 2658,deepakberlia@yahoo.com,458.4 Ha,G 39
155,SACHINDRA CHANDRA TEA ESTATE,Organized Estate,Terai,Darjeeling,SHRI AJIT KUMAR AGARWALA,SHRI V.D. DUA,Siliguri,"Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010",03532005190,teraitea@gmail.com,224.0 Ha,119
156,SANNYASITHAN,Organized Estate,Terai,Darjeeling,SANNYASITHAN TEA CO.PVT. LTD R K SINGH,"ROAD, KOLKATA-",Kolkata,"M7XV+VC7 Sannyasithan Tea Estate, Sannyasi Thaner Chhat, West Bengal 734014",0353-2005562,-,128.8 Ha,161
157,SATISH CHANDRA TEA ESTATE,Organized Estate,Terai,Darjeeling,SOUTHERN TERAI TEA CO (P),SOUTHERN TERAI TEA CO (P),Other / Unspecified,"TERAI TEA FARMER PRODUCER COMPANY LIMITED, KESHORDOBA, Khoribari, West Bengal 734427",097349 65214,-,134.0 Ha,119
158,SINGHIA JHORA TEA ESTATE,Organized Estate,Terai,Darjeeling,SINGHIA JHORA TEA CO. (P) LTD,MOHAN KRISHNA,Kolkata,"Singhia Jhora Tea Co Pvt Ltd, 51, Shakespeare Sarani, Park Circus, Park Street area, Kolkata, West Bengal 700017",03532004168,singhisjhorste@gmail.com,129.2 Ha,2436
159,TAIPOO,Organized Estate,Terai,Darjeeling,GILLANDERS ARBUTHNOT & CO.,M. SODHANI,Kolkata,"Gillanders Arbuthnot & Co. Ltd., C-4, Netaji Subhas Rd, Kolkata, West Bengal 700001",033 2230 2331,taipooslg@rediffmail.com,298.7 Ha,Q-31
160,THANJHORA TEA ESTATE,Organized Estate,Terai,Darjeeling,JALPAIGURI DOOARS TEA CO.,ROSHANLAL AGARWALA,Kolkata,"4th Floor, Darjeeling Dooars Plantations Tea Limited, Nicco House, 2, Hare St, Above Canara Bank, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2248 7908,thanjhora@gmail.com,361.7 Ha,707
161,TIRRIHANNAH CO LTD,Organized Estate,Terai,Darjeeling,TIRRIHANNAH CO LTD,GHANSHYAM DASKANKANI,Other / Unspecified,"Q787+H9V Tirrihannah Tea Factory, Tirrihannah Tea Garden, Ord Terai Tea Garden, West Bengal 734423",0,tirrihannah.co@gmail.com,362.1 Ha,E-51
162,ATIABARI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ATIABARI TEA COMPANY LTD,MR. NARENDRA BERLIA,Siliguri,"Awwal Tea, Sevoke Rd, near sachitra hotel, Jyoti Nagar, Bankim Nagar, Siliguri, West Bengal 734001",03566 200131,sevokemotors@vsnl.net,556.6 Ha,725
163,BEECH TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,KANISKA SETHIA,S. ROY CHOWDHURY,Kolkata,"KANISHKA SHIPPING LINES, 23A, Netaji Subhas Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001",099337 56004,beech@westcong.com,785.1 Ha,P-6
164,BHARNOBARI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BARNOBARI TEA & INDUSTRIES PVT. LTD.,S. JOSHI,Kolkata,"Bharnobari Tea & Industries Ltd., 34, Raja Santosh Rd, Mangalam, Alipore, Kolkata, West Bengal 700027",9476372408,-,726.7 Ha,P-7
165,BHATKAWA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BHATKAWA TEA INDUSTRIES LTD. SRI SUDARSHAN JALAN,",",Kolkata,"6TH FLOOR, Bhatkawa Tea Estate, Nicco House, 2, Hare St, B.B.D. Bagh, Kolkata, West Bengal 700001",22489916,manager-bhatkawa@yahoo.com,634.5 Ha,E-23
166,BHATPARA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,MCLEOD RUSSEL INDIA LIMITED,MR. RAJEEV TAKRU,Kolkata,"Mcleod Russel India limited, Surendra Mohan Ghosh Sarani, 4, Mangoe Ln, Kolkata, West Bengal 700001",099030 96991,bhatpara@wmg.co.in,632.0 Ha,2579
