Target Company,Target HQ City,Associated Gardens,Match Status,Found Place Name,Formatted Address,City,PIN Code,Phone,Website,Latitude,Longitude,Rating,Reviews,Category,Place ID,Google Maps URL,Scraped At
"RAHAMAN AGRO PLANTATION","Siliguri","RAHAMAN AGRO PLANTATION PVT.","matched","RAHAMAN AGRO PLANTATION TEA FACTORY","RAHAMAN AGRO PLANTATION TEA FACTORY, Dakshin Kundal Pukhar, West Bengal 733207","Siliguri","733207",,,26.4407322,88.383091,4.1,,"Tea Manufacturer","ChIJCS3SEMJY5DkR0zLsyvAbDQw","https://www.google.com/maps/place/?q=place_id:ChIJCS3SEMJY5DkR0zLsyvAbDQw","2026-09-14T11:30:19.442Z"
"KAMAL MITRUKA","Siliguri","RIDHI SIDHI TEA ESTATE","partial","Kamala Trading","Kamala Trading, Sevoke Rd, opposite Hotel Sabera, Ward 10, Sevoke more, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7161685,88.42308159999999,5,,"Wholesaler","ChIJbXutQepB5DkR8XTYm_OeuHU","https://www.google.com/maps/place/?q=place_id:ChIJbXutQepB5DkR8XTYm_OeuHU","2026-09-14T11:30:22.616Z"
"ALIPURDUAR ENTERPRISES LTD","Siliguri","BUNDAPANI TEA GARDEN","partial","Choudhury Enterprise (AD)","Choudhury Enterprise (AD), Hill Cart Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.713072699999998,88.4251098,5,31,"Medical supply store","ChIJ-8su82tB5DkRnTQQ3hj1O4Q","https://www.google.com/maps/place/?q=place_id:ChIJ-8su82tB5DkRnTQQ3hj1O4Q","2026-09-14T11:30:25.485Z"
"USHA TEA CO PVT LTD","Siliguri","DAHUK VALLEY TEA ESTATE","matched","Usha Tea Co Pvt Ltd","HC4J+QFJ Usha Tea Co Pvt Ltd, Sannyasikata, West Bengal 735134","Siliguri","735134",,,26.556950099999998,88.43115619999999,5,1,"Tea Manufacturer","ChIJoROQwAx55DkRCSGT26S1yRc","https://maps.google.com/maps/preview/place/HC4J%2BQFJ+Usha+Tea+Co+Pvt+Ltd,+Sannyasikata,+West+Bengal+735134/@26.5569501,88.4311562,3569a,13.1y/data=!4m2!3m1!1s0x39e4790cc09013a1:0x17c9b5a4db932109","2026-09-14T11:30:28.414Z"
"HIND TEA COMPANY LIMITED","Siliguri","RAMJHORA TEA ESTATE","matched","Darjeeling Tea Retailer - Hindusthan Tea Co.","T, Darjeeling Tea Retailer - Hindusthan Tea Co., gate 1, 74, Bidhan Market Rd, opposite Hongkong market, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7171646,88.42573829999999,4.8,,"Tea store","ChIJtTqTuYJB5DkRRE_ygD3eImQ","https://www.google.com/maps/place/?q=place_id:ChIJtTqTuYJB5DkRRE_ygD3eImQ","2026-09-14T11:30:31.446Z"
"LAXMIKANT GAUR","Siliguri","DALSINGPARA","partial","Laxmi Kanta Dey","PCPC+465 Laxmi Kanta Dey, Ward 45, Pradhan Nagar, Siliguri, West Bengal 734003","Siliguri","734003",,,26.735319,88.4206122,5,,"Apartment building","ChIJ5-gs0TRB5DkRppnwAdoqB5o","https://www.google.com/maps/place/?q=place_id:ChIJ5-gs0TRB5DkRppnwAdoqB5o","2026-09-14T11:30:35.017Z"
"THE BENGAL DFOOARS","Siliguri","DHOWLAJHORA TEA ESTATE","partial","DOOARS TASTE","DOOARS TASTE, College Para, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7095369,88.4339968,4.6,,"Chinese restaurant","ChIJGYLDFlJB5DkRVu7-JhVh_1M","https://www.google.com/maps/place/?q=place_id:ChIJGYLDFlJB5DkRVu7-JhVh_1M","2026-09-14T11:30:38.126Z"
"KOHINOOR TEA CO. PVT. LTD.","Siliguri","KOHINOOR TEA ESTATE","matched","Good Point Tea Pvt. Ltd.","Good Point Tea Pvt. Ltd., 6th Floor, Space Town, 2.5 Mile Sevoke Road, Post, near Check, Siliguri, West Bengal 734001","Siliguri","734001",,"http://goodpointtea.com/",26.7475557,88.4383739,4.4,,"Tea house","ChIJr_F1HBBB5DkRVUW6YOqRbQo","https://www.google.com/maps/place/?q=place_id:ChIJr_F1HBBB5DkRVUW6YOqRbQo","2026-09-14T11:30:41.799Z"
"ASHIT KR.SARKAR","Siliguri","MOUPRIYA PLANTATION PVT LTD","partial","ASHIT SARKAR","ASHIT SARKAR, Santinagar Market, Siliguri Rd, Panjipara, West Bengal 733208","Siliguri","733208",,,26.1330717,88.0062567,5,,"General store","ChIJY0sFEY4R5TkR01zPNx5E230","https://www.google.com/maps/place/?q=place_id:ChIJY0sFEY4R5TkR01zPNx5E230","2026-09-14T11:30:45.198Z"
"540","Siliguri","PROVA TEA ESTATE","partial","Siliguri","Siliguri, West Bengal","Siliguri","",,,26.7271012,88.39528609999999,,,,"ChIJzR1E9RRB5DkR_-1jIHDEtd4","https://maps.google.com/maps/preview/place/Siliguri,+West+Bengal/@26.7271012,88.3952861,3564a,13.1y/data=!4m2!3m1!1s0x39e44114f5441dcd:0xdeb5c4702063edff","2026-09-14T11:30:48.011Z"
"RIGHTEX TRADING (P) LTD.","Siliguri","RIGHTEX TRADING (P) LTD.","partial","Rightex Trading Pvt Ltd","C9MM+52G Rightex Trading Pvt Ltd, Uttar Besarbari, West Bengal 733207","Siliguri","733207",,,26.432946299999998,88.38258569999999,2.7,,"Garden","ChIJ9yVnwmNZ5DkRopKD_vy8J4c","https://maps.google.com/maps/preview/place/C9MM%2B52G+Rightex+Trading+Pvt+Ltd,+Uttar+Besarbari,+West+Bengal+733207/@26.4329463,88.3825857,3573a,13.1y/data=!4m2!3m1!1s0x39e45963c26725f7:0x8727bcfcfe8392a2","2026-09-14T11:30:51.029Z"
"THE FRIENDS TEA COMPANY LTD. MR. RANJIT BALOW","Jalpaiguri","KAILASHPUR TEA ESTATE","matched","Praakritik Tea Industries Pvt Ltd","HJMH+7Q5 Praakritik Tea Industries Pvt Ltd, Patkata Colony, Denguajhar, Jalpaiguri, West Bengal 735133","Jalpaiguri","735133",,,26.5832081,88.6294798,5,,"Tea Manufacturer","ChIJ2VfuSABl5DkRNpcRXBcIp9g","https://www.google.com/maps/place/?q=place_id:ChIJ2VfuSABl5DkRNpcRXBcIp9g","2026-09-14T11:31:27.551Z"
"DUNCANS INDUSTRIES LIMITED","Jalpaiguri","KILLCOTT","matched","Duncans Tea Limited","4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","Kolkata","700001","033 2242 1605","https://www.duncanstea.in/",22.5758118,88.3490346,2.3,,"Tea store","ChIJhZmnTbt3AjoRLq_WvutvPsY","https://maps.google.com/maps/preview/place/4th+Floor,+Duncans+Tea+Limited,+Duncan+House,+31,+Netaji+Subhas+Rd,+Murgighata,+B.B.D.+Bagh,+Kolkata,+West+Bengal+700001/@22.5758118,88.3490346,3684a,13.1y/data=!4m2!3m1!1s0x3a0277bb4da79985:0xc63e6febbed6af2e","2026-09-14T11:31:31.064Z"
"NORTHERN BENGAL TEA","Jalpaiguri","NEDAM TEA ESTATE","matched","Northern Bengal Tea Corporation Limited","Atiabari Building, Kadamtalla, Northern Bengal Tea Corporation Limited, Jalpaiguri, West Bengal 735101","Jalpaiguri","735101","03561 230 733",,26.5200566,88.73977719999999,4,,"Corporate office","ChIJq6qqqjp55DkR2q-bxy_qy1g","https://maps.google.com/maps/preview/place/Atiabari+Building,+Kadamtalla,+Northern+Bengal+Tea+Corporation+Limited,+Jalpaiguri,+West+Bengal+735101/@26.5200566,88.7397772,3570a,13.1y/data=!4m2!3m1!1s0x39e4793aaaaaaaab:0x58cbea2fc79bafda","2026-09-14T11:31:34.467Z"
"RANICHERRA TEA CO.LTD","Jalpaiguri","RANICHERRA TEA ESTATE","matched","RANICHERRA TEA COMPANY LIMITED","RANICHERRA TEA COMPANY LIMITED, MATELLI BAZAR MATELLI , JALPAIGURI WEST BENGAL PIN, Jalpaiguri, West Bengal 735223","Jalpaiguri","735223","084367 16419",,26.9360917,88.80949059999999,,,"Tea market place","ChIJ_____7T34zkR6OsGU3sa4aA","https://maps.google.com/maps/preview/place/RANICHERRA+TEA+COMPANY+LIMITED,+MATELLI+BAZAR+MATELLI+,+JALPAIGURI+WEST+BENGAL+PIN,+Jalpaiguri,+West+Bengal+735223/@26.9360917,88.8094906,3557a,13.1y/data=!4m2!3m1!1s0x39e3f7b4ffffffff:0xa0e11a7b5306ebe8","2026-09-14T11:31:37.708Z"
"SUNNY VALLEY TEA &","Jalpaiguri","JOYPUR","matched","KARLAVALLEY TEA FACTORY Bada line photo ka location bhejiye","GMXG+MV3 KARLAVALLEY TEA FACTORY Bada line photo ka location bhejiye, Patkata Colony, Jalpaiguri, West Bengal 735133","Jalpaiguri","735133",,,26.5491371,88.6771768,3.9,,"Tea Manufacturer","ChIJn1-H_6t75DkRzxQ-6YLa2x0","https://maps.google.com/maps/preview/place/GMXG%2BMV3+KARLAVALLEY+TEA+FACTORY+Bada+line+photo+ka+location+bhejiye,+Patkata+Colony,+Jalpaiguri,+West+Bengal+735133/@26.5491371,88.6771768,3569a,13.1y/data=!4m2!3m1!1s0x39e47babff875f9f:0x1ddbda82e93e14cf","2026-09-14T11:31:41.093Z"
"KONPAKRI AGRO INDUS. (P) LTD PUROJIT BAKSHI GUPTA","Jalpaiguri","KONPAKRI AGRO INDUSTRIES (P)","matched","Bhatrisakti Agro Pvt. Ltd.","GMJ8+3RQ Bhatrisakti Agro Pvt. Ltd., Patkata Colony, Mohitnagar, Golghumti, Jalpaiguri, West Bengal 735102","Jalpaiguri","735102",,,26.5302012,88.6671001,4.1,7,"Tea Manufacturer","ChIJl3W0Q8R75DkRnnkgB0Q69e4","https://maps.google.com/maps/preview/place/GMJ8%2B3RQ+Bhatrisakti+Agro+Pvt.+Ltd.,+Patkata+Colony,+Mohitnagar,+Golghumti,+Jalpaiguri,+West+Bengal+735102/@26.5302012,88.6671001,3570a,13.1y/data=!4m2!3m1!1s0x39e47bc443b47597:0xeef53a440720799e","2026-09-14T11:31:43.576Z"
"SUBRATA SAHA","Jalpaiguri","RAIPUR TEA ESTATE","matched","Subrata Saha","VRF3+C69 Subrata Saha, NH 717, Mangalbari, West Bengal 735206","Jalpaiguri","735206",,,26.873536899999998,88.8030971,4.5,19,"Hardware store","ChIJlcwXl1714zkR1dLy5zkXdNo","https://www.google.com/maps/place/?q=place_id:ChIJlcwXl1714zkR1dLy5zkXdNo","2026-09-14T11:31:47.136Z"
"DEBPARA TEA CO. LTD.","Jalpaiguri","DEBPARA TEA ESTATE","matched","Debpara Tea Co. Ltd.","Debpara Tea Co. Ltd., 10, Sevoke Rd, Ward 10, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.716723599999998,88.4234954,,,"Tea Manufacturer","ChIJo6I_KGtB5DkRWMPg1K-vOCA","https://maps.google.com/maps/preview/place/Debpara+Tea+Co.+Ltd.,+10,+Sevoke+Rd,+Ward+10,+Hakim+Para,+Siliguri,+West+Bengal+734001/@26.7167236,88.4234954,3564a,13.1y/data=!4m2!3m1!1s0x39e4416b283fa2a3:0x2038afafd4e0c358","2026-09-14T11:31:50.149Z"
"ASHA TEA COMPANY PVT LTD","Jalpaiguri","MISSION HILL","matched","Asha Tea Company","Asha Tea Company, Rishi Rd, Mal Bazar, Tunbari Tea Garden P, West Bengal 735221","Malbazar","735221","095936 62523","http://missionhilltea.com/",26.8805709,88.74676889999999,4.6,9,"Tea Manufacturer","ChIJ4QRPZNQL5DkRutETeHFYIA4","https://www.google.com/maps/place/?q=place_id:ChIJ4QRPZNQL5DkRutETeHFYIA4","2026-09-14T11:31:53.472Z"
"SONAR BANGLA TEA CO (P) LTD","Jalpaiguri","SONAR BANGLA TEA CO (P) LTD","matched","Sonar Bangla Tea Co, Pvt. Ltd","GV57+6GF Sonar Bangla Tea Co, Pvt. Ltd, Paschim Salbari, West Bengal 735305","Jalpaiguri","735305",,,26.5080542,88.86381,,,"Association / Organization","ChIJj3C66FmB4zkR9dbpM-pYHt0","https://maps.google.com/maps/preview/place/GV57%2B6GF+Sonar+Bangla+Tea+Co,+Pvt.+Ltd,+Paschim+Salbari,+West+Bengal+735305/@26.5080542,88.86381,3570a,13.1y/data=!4m2!3m1!1s0x39e38159e8ba708f:0xdd1e58ea33e9d6f5","2026-09-14T11:31:56.860Z"
"KUKURJAN AGRO PRODUCT PVT LTD","Jalpaiguri","BARUAPARA TEA ESTATE","partial","Ruchi Agro Products Private Limited","Ruchi Agro Products Private Limited, near Sarodamani High School, School Para, Fatapukur, Chhat Guzrimari, West Bengal 735134","Jalpaiguri","735134",,,26.566144599999998,88.5513297,4.5,,"Corporate office","ChIJt2D7wR5n5DkR_s7LZRDmq9Y","https://www.google.com/maps/place/?q=place_id:ChIJt2D7wR5n5DkR_s7LZRDmq9Y","2026-09-14T11:31:59.975Z"
"ARUN KUMAR MUNDRA","Jalpaiguri","BHANDIGURI","partial","Arun Watch Co","Arun Watch Co, Dinbazar Rd, Jalpaiguri, West Bengal 735101","Jalpaiguri","735101","096353 04056",,26.5303461,88.7240487,4.5,13,"Watch store","ChIJV5_AakJ55DkRrGpTRRwsAks","https://www.google.com/maps/place/?q=place_id:ChIJV5_AakJ55DkRrGpTRRwsAks","2026-09-14T11:32:03.435Z"
"PARTHA PRATIM PAUL","Jalpaiguri","BHARDESHWAR TEA PLANTATION","partial","Dr Partha Pratim Deb","Dr Partha Pratim Deb, Basu's Clinic, Nandalal Basu Sarani, College Para, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001","089105 86504","https://drparthapratimdeb.co.in/",26.7112259,88.4308849,5,8,"Urologist","ChIJxydtRVZB5DkRnGvnnAffZug","https://www.google.com/maps/place/?q=place_id:ChIJxydtRVZB5DkRnGvnnAffZug","2026-09-14T11:32:05.875Z"
"JANAKI GOSAI TEA ESTATE PVT LTD","Jalpaiguri","JANAKI GOSAI TEA ESTATE","matched","Joypur Tea Estate","HJWP+HG7 Joypur Tea Estate, Patkata Colony, Denguajhar, Jalpaiguri, West Bengal 735121","Jalpaiguri","735121",,,26.5964189,88.63629829999999,3.3,,"Tea Manufacturer","ChIJ43mggqt65DkRutsZOhvCyME","https://www.google.com/maps/place/?q=place_id:ChIJ43mggqt65DkRutsZOhvCyME","2026-09-14T11:32:08.814Z"
"JAHURI DURGA TEA CO (P) LTD","Jalpaiguri","GOPIMOHAN TEA ESTATE","matched","Danguajhar Tea Garden","Danguajhar Tea Garden, Denguajhar, Jalpaiguri, Paharpur, West Bengal 735121","Jalpaiguri","735121","033 2287 3067","http://www.goodricke.com/",26.5586222,88.69990829999999,4.3,,"Tea Manufacturer","ChIJGROyUDJ65DkR1_7abLp7PAA","https://www.google.com/maps/place/?q=place_id:ChIJGROyUDJ65DkR1_7abLp7PAA","2026-09-14T11:32:11.845Z"
"GOEL PLANTATIONS PVT. LTD","Jalpaiguri","KUCHLIBARI TEA ESTATE","matched","Damdim Tea Estate Factory, Amalgamated Plantations Pvt Ltd","RMH6+3X4 Damdim Tea Estate Factory, Amalgamated Plantations Pvt Ltd, Damdim Tea Garden, West Bengal 735209","Jalpaiguri","735209",,,26.8276316,88.6624554,4.6,,"Corporate office","ChIJzXCnv-gN5DkRHSxR8KUdgT4","https://www.google.com/maps/place/?q=place_id:ChIJzXCnv-gN5DkRHSxR8KUdgT4","2026-09-14T11:32:14.613Z"
"BILATIBARI TEA COMPANY PVT. LTD","Islampur","BILATIBARI TEA ESTATE","matched","Bilatibari Tea Co. Factory","Bilatibari Tea Co. Factory, Dakshin Kundal Pukhar, West Bengal 733207","Islampur","733207",,,26.441755399999998,88.3663084,4.1,,"Tea Manufacturer","ChIJh-tl6PZY5DkRtILxfINJJLg","https://www.google.com/maps/place/?q=place_id:ChIJh-tl6PZY5DkRtILxfINJJLg","2026-09-14T11:32:24.942Z"
"MAHAMAYA AGRO INDUSTRIES PVT. LTD.","Islampur","MAHAMAYA TEA ESTATE","matched","Mahamaya Tea & Agro Industries Pvt Ltd","Mahamaya Tea & Agro Industries Pvt Ltd, Sonamoti Rd, BSF Camp, Gunabari, West Bengal 733202","Islampur","733202","098517 83306",,26.1455238,88.1716612,4.1,,"Tea Manufacturer","ChIJbaa4Ngri5DkR4wIDDWsFNfU","https://maps.google.com/maps/preview/place/Mahamaya+Tea+%26+Agro+Industries+Pvt+Ltd,+Sonamoti+Rd,+BSF+Camp,+Gunabari,+West+Bengal+733202/@26.1455238,88.1716612,3582a,13.1y/data=!4m2!3m1!1s0x39e4e20a36b8a66d:0xf535056b0d0302e3","2026-09-14T11:32:28.331Z"
"M C NANDI","Islampur","MATRI","partial","Nandi Trading","Nandi Trading, Netaji Subhash Rd, Teenpool, Islampur, West Bengal 733202","Islampur","733202","03526 255 224",,26.2591055,88.19017269999999,5,,"Wholesale Food Store","ChIJ5wgoYAz95DkR64_fgGQvB7Q","https://www.google.com/maps/place/?q=place_id:ChIJ5wgoYAz95DkR64_fgGQvB7Q","2026-09-14T11:32:31.958Z"
".81","Islampur","PARAGON TEA ESTATE","partial","Islampur","Islampur, West Bengal","Islampur","",,,26.255431899999998,88.2009408,,,,"ChIJhdrypQz95DkRgzUyHTgWd7g","https://maps.google.com/maps/preview/place/Islampur,+West+Bengal/@26.2554319,88.2009408,3578a,13.1y/data=!4m2!3m1!1s0x39e4fd0ca5f2da85:0xb87716381d323583","2026-09-14T11:32:34.279Z"
"T.N.CHOWDHURY TEA ESTATE PVT. LTD.","Islampur","T.N.CHOWDHURY TEA ESTATE","matched","T N Chowdhury Tea Estate Factory","T N Chowdhury Tea Estate Factory, Benikandar, West Bengal 733202","Islampur","733202",,,26.168605099999997,88.1890025,4.2,5,"Tea Manufacturer","ChIJP_x_Sq3j5DkRPGNMUxEG5a8","https://maps.google.com/maps/preview/place/T+N+Chowdhury+Tea+Estate+Factory,+Benikandar,+West+Bengal+733202/@26.1686051,88.1890025,3581a,13.1y/data=!4m2!3m1!1s0x39e4e3ad4a7ffc3f:0xafe50611534c633c","2026-09-14T11:32:37.318Z"
"TOPICAL TEA CO. PVT. LTD.","Islampur","SOLODIGHI TEA ESTATE","matched","TOPICAL TEA COMPANY PRIVATE LIMITED","TOPICAL TEA COMPANY PRIVATE LIMITED, Soldighi, Debijhora, Chopra, Bhagabati, West Bengal 733207","Islampur","733207",,"http://topicaltea.in/",26.4784501,88.3668634,4.4,,"Tea Manufacturer","ChIJjc716nBZ5DkR5ggMBccTosM","https://maps.google.com/maps/preview/place/TOPICAL+TEA+COMPANY+PRIVATE+LIMITED,+Soldighi,+Debijhora,+Chopra,+Bhagabati,+West+Bengal+733207/@26.4784501,88.3668634,3571a,13.1y/data=!4m2!3m1!1s0x39e45970eaf5ce8d:0xc3a213c7050c08e6","2026-09-14T11:32:40.117Z"
"TULSIVIA AGRO FAM","Islampur","TULSIVITA TEA ESTATE","partial","Islampur","Islampur, West Bengal","Islampur","",,,26.255431899999998,88.2009408,,,,"ChIJhdrypQz95DkRgzUyHTgWd7g","https://maps.google.com/maps/preview/place/Islampur,+West+Bengal/@26.2554319,88.2009408,3578a,13.1y/data=!4m2!3m1!1s0x39e4fd0ca5f2da85:0xb87716381d323583","2026-09-14T11:32:43.222Z"
"H.K.SHAW","Darjeeling","GIDAPAHAR TEA ESTATE","matched","Happy Valley Tea Estate","Happy Valley Tea Estate, Lebong Cart Rd, near Darjeeling, Chauk Bazaar, Darjeeling, West Bengal 734101","Darjeeling","734101",,"https://happyvalleyorganictea.com/",27.0513425,88.25865259999999,4.4,,"Garden","ChIJ5_fbgLsu5DkRFfQNjzjGogQ","https://www.google.com/maps/place/?q=place_id:ChIJ5_fbgLsu5DkRFfQNjzjGogQ","2026-09-14T11:32:46.700Z"
"MAKAIBARITEA 7 TRADING CO. PVT. LTD.","Darjeeling","MAKAIBARI TEAESTATE","matched","Makaibari Tea Estate","V756+W87 Makaibari Tea Estate, Pankhabari Rd, Kurseong, West Bengal 734203","Darjeeling","734203","091471 27351","https://www.makaibari.com/",26.8597967,88.26079279999999,4.5,305,"Lodging","ChIJJdXDVMg25DkRQoV0dhfUPjU","https://www.google.com/maps/place/?q=place_id:ChIJJdXDVMg25DkRQoV0dhfUPjU","2026-09-14T11:32:49.989Z"
"JOTINDRA MOHON TEA","Darjeeling","JOTINDRA MOHAN","matched","Jatindra Mohan Tea Company Factory","CCX2+GC8 Jatindra Mohan Tea Company Factory, Choagari, West Bengal 733207","Darjeeling","733207","093990 38532",,26.4487953,88.4010883,4.3,,"Tea Manufacturer","ChIJ8WrD19JY5DkR7EuBe61Cu54","https://www.google.com/maps/place/?q=place_id:ChIJ8WrD19JY5DkR7EuBe61Cu54","2026-09-14T11:32:53.324Z"
"GOODRICKE GROUP LIMITED","Kolkata","AIBHEEL TEA GARDEN; CHALOUNI; CHULSA TEA ESTATE; LEESH RIVER TEAGARDEN; MEENGLAS TEA GARDEN; DANGUAJHAR TEA GARDEN; JITI; LAKHIPARA TEA GARDEN; BADAMTAM TEA ESTATE; THURBO TEA GARDEN; KUMARGRAM TEA GARDEN; SANKOS; GANDRAPARA TEA GARDEN","matched","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","Kolkata","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,4.3,95,"Tea Manufacturer","ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","2026-09-14T11:33:01.692Z"
"NEW CHUMTA TEA CO. LTD","Kolkata","ANANDAPUR TEA ESTATE","matched","New Chumta Tea","New Chumta Tea, New Chumta Tea garden PO - New Chumta PS - Matigara, Siliguri, West Bengal 734009","Siliguri","734009","098008 82719","http://www.newchumtatea.com/",26.771186399999998,88.3639986,4.4,,"Tea Manufacturer","ChIJPQ8-mq1H5DkR7qy_FrD6Tes","https://www.google.com/maps/place/?q=place_id:ChIJPQ8-mq1H5DkR7qy_FrD6Tes","2026-09-14T11:33:04.649Z"
"DUNCANS INDUSTRIES LIMITED","Kolkata","BAGRACOTE TEA GARDEN; NAGAISUREE; LANKAPARA TEA GARDEN; RUNGLEE RUNGLIOT; MARYBONG TEA GARDEN; LAKHIPUR (DUNCANS); PATAGORA TEA GARDEN (DUNCANS; BIRPARA TE; DUMCHIPARA TEA ESTATE; GARGANDA TAE ESTATE; HANTAPARA TEA ESTATE; TULSIPARA TEA ESTATE","matched","Duncans Tea Limited","4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","Kolkata","700001","033 2242 1605","https://www.duncanstea.in/",22.5758118,88.3490346,2.3,,"Tea store","ChIJhZmnTbt3AjoRLq_WvutvPsY","https://maps.google.com/maps/preview/place/4th+Floor,+Duncans+Tea+Limited,+Duncan+House,+31,+Netaji+Subhas+Rd,+Murgighata,+B.B.D.+Bagh,+Kolkata,+West+Bengal+700001/@22.5758118,88.3490346,3684a,13.1y/data=!4m2!3m1!1s0x3a0277bb4da79985:0xc63e6febbed6af2e","2026-09-14T11:33:07.162Z"
"DIANA TEA CO. LTD.","Kolkata","BAINTGOORIE TEA ESTATE; GOOD HOPE TEA ESTATE; AMBARI TEA ESTATE; DIANA TEA ESTATE","matched","Diana Tea Company Limited","4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001","Kolkata","700001","033 2248 8672","http://dianatea.in/",22.571953,88.35202,3.7,15,"Tea Manufacturer","ChIJrz92paV3AjoRgq3T0Eb5lA8","https://maps.google.com/maps/preview/place/4th+Floor,+Diana+Tea+Company+Limited,+SIR+RNM+House,+3%2FB,+Lal+Bazar+St,+Lal+Bazar,+Kolkata,+West+Bengal+700001/@22.571953,88.35202,3684a,13.1y/data=!4m2!3m1!1s0x3a0277a5a5763faf:0xf94f946d0d3ad82","2026-09-14T11:33:09.983Z"
"SUBLIME AGRO LTD.","Kolkata","DAGAPUR","partial","Surobhi Agro Industries Pvt Ltd","Surobhi Agro Industries Pvt Ltd, Anwesha, opposite lahari dance institute, aam tala shiv than, Fartabad, Garia, Rajpur Sonarpur, West Bengal 700084","Kolkata","700084",,"http://www.farmologyindia.com/",22.4611958,88.3936423,4.6,8,"Agricultural organization","ChIJmY0licR4AjoR93tE2UKtfys","https://maps.google.com/maps/preview/place/Surobhi+Agro+Industries+Pvt+Ltd,+Anwesha,+opposite+lahari+dance+institute,+aam+tala+shiv+than,+Fartabad,+Garia,+Rajpur+Sonarpur,+West+Bengal+700084/@22.4611958,88.3936423,3687a,13.1y/data=!4m2!3m1!1s0x3a0278c489258d99:0x2b7fad42d9447bf7","2026-09-14T11:33:13.395Z"
"THE ELLENBARRIE TEA CO.LTD. SHANTI PROSAD AGARWALLA","Kolkata","ELLENBARRIE TEA ESTATE","matched","The Ellenbarrie Tea Co Limited","The Ellenbarrie Tea Co Limited, 3a, Ripon St, Block K, Taltala, Kolkata, West Bengal 700014","Kolkata","700014","033 2229 1923",,22.510489999999997,88.33555,4.7,3,"Tea store","ChIJs5XPpKpwAjoRstgDRRr6bfI","https://www.google.com/maps/place/?q=place_id:ChIJs5XPpKpwAjoRstgDRRr6bfI","2026-09-14T11:33:16.351Z"
"ENGO TRADING & TEA CO.(P)","Kolkata","ENGO TEA ESTATE; NEWLANDS TEA ESTATE","matched","Engo Tea Co. Ltd.","FLOOR, FLAT NO.5A, Engo Tea Co. Ltd., 12, 5TH, Pretoria St, Kolkata, West Bengal 700071","Kolkata","700071","033 3029 5000",,22.544324,88.351635,3.5,,"Corporate office","ChIJY_C_FRd3AjoRQ06FHCmola0","https://www.google.com/maps/place/?q=place_id:ChIJY_C_FRd3AjoRQ06FHCmola0","2026-09-14T11:33:18.819Z"
"THE GOPALPUR TEA COMPANY LIMITED","Kolkata","GOPALPUR TEA ESTATE","matched","THE GOPALPUR TEA CO. LTD.","THE GOPALPUR TEA CO. LTD., 3rd Floor, Suite No.12, 30 Chowringhee Road, Kolkata, West Bengal 700013","Kolkata","700013","033 2229 1684",,22.562625,88.3511611,4.8,,"Tea Manufacturer","ChIJ33o0YBF3AjoRpq_szvLAbpY","https://maps.google.com/maps/preview/place/THE+GOPALPUR+TEA+CO.+LTD.,+3rd+Floor,+Suite+No.12,+30+Chowringhee+Road,+Kolkata,+West+Bengal+700013/@22.562625,88.3511611,3684a,13.1y/data=!4m2!3m1!1s0x3a02771160347adf:0x966ec0f2ceecafa6","2026-09-14T11:33:21.629Z"
"GURJANGJHORA TEA &","Kolkata","GURJANGJHORA TEA ESTATE","matched","Gurjang Jhora Tea Garden","Gurjang Jhora Tea Garden, West Bengal","Kolkata","",,,26.900056799999998,88.727746,,,,"ChIJ65jzgUQJ5DkRDvFeJ40qxVE","https://www.google.com/maps/place/?q=place_id:ChIJ65jzgUQJ5DkRDvFeJ40qxVE","2026-09-14T11:33:24.912Z"
