Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Garden Address,Garden Phone,Garden Email,Owner / Company,Owner HQ Address,Owner Phone,Owner Fax,Owner Email,CEO / Principal,CEO Address,CEO Phone,CEO Email,HQ City
57,"DEBPARA TEA ESTATE","12","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",851.81,546.24,"TRA","DEBPARA T.E.,P.O. BANARHAT,DIST-, JALPAIGURI",,,"DEBPARA TEA CO. LTD.","UKILPARA,JALPAIGURI","03561230060","","","MR. S.MITTAL","UKILPARA,JALPAIGURI","9434145186","debparatea@gmail.com","Jalpaiguri"
58,"DHARANIPUR","2515","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",441.59,264.52,"ITA","PO-CARRON,DIST-JALPAIGURI,WB",,,"ROSHANLAL AGARWAL","O M PALACE , ASHRAMPARA, WB","0353-2640235","0353-2640068","redbank@yahoo.com","N K BASU","OM PALACE, ASHRAMPARA, WB","0350 -2640235","redbank@yahoo.com","Siliguri"
59,"DIANA TEA ESTATE","J-26","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",536.62,418.3,"ITA","P.O. BANARHAT,PIN, 735202,JALPAIGURI",,,"DIANA TEA CO. LTD.","3B LALBAZAR ST.KOL-1","03322488672","03322487571","contactus@dianatea.in","MR. MONO AGRWALLA","DIANA TEA CO.LTD.,3B LALBAZAR, ST.KOL-1","03322488672","contactus@dianatea.in","Kolkata"
60,"GHATIA TEA ESTATE","2624","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",756.11,599.64,"TRA","GHATIA TEA ESTATE NAGRAKATA, DIST: JALPAIGURI",,,"H.V. KEJRIWAL","90/31, DIAMOND HARBOUR ROAD, KOLKATA-700038","03323983289","03323982262","rungamattee@gmail.com","H.V. KEJRIWAL","90/31, DIAMOND HARBOUR ROAD, KOLKATA-700038","03323983289","rungamattee@gmail.com","Kolkata"
61,"HILLA","2423","Dooars","JALPAIGURI","NAGRAKATA","Public Sector",709,310,"ITA","P.O.NAGRAKATA, DIST- JALPAIGURI,, W.B",,,"WEST BENGAL TEA","DEVELOPMENT CORPORATION, LTD., SHYAMKUNJ,12B, LORD SINHA, ROAD, 3RD FLOOR, KOL-71","033-22821284","033-22824935","webtea@vsnl.net","MISS. MAUSAMI GUHA ROY","SHYAMKUNJ,12B, LORD SINHA, ROAD,","033-22828761","webtea@vsnl.net","Kolkata"
62,"HOPE TEA GARDEN","B/10","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",679.57,432.12,"ITA","HOPE TEA GARDEN,P.O., NAGRAKATA; DIST: JALPAIGURI",,,"V.MANDAL","""CAMELLIA, HOUSE""14,GURUSADAY, ROAD,KOLAKATA-19","03322872577","","","MR. ARUN NARAYAN SINGH","""CAMELLIA, HOUSE""14,GURUSADAY, ROAD,KOLAKATA-19","09903000999","","Kolkata"
63,"JALDACCA ALTADANGA TEA ESTATE 15","","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",405.37,197.39,"TRA","P.O-NATHUAHAT, DIST-JALPAIGURI,, W.B",,,"AJIT KUMAR AGARWAL","AGARWALA HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI","0353-2543857","0353-2542656","teraitea@gmail.com","V.D.DUA","AGARWALA HOUSE, 2ND MILE,, SEVOKE","0353-2543857","teraitea@gmail.com","Siliguri"
64,"JITI","B-11","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",934.46,546.86,"TRA","P.O-NAGRAKATA,DIST-, JALPAIGURI,WB",,,"GOODRICKE GROUP LIMITED","""CAMELLIA, HOUSE""14,GURUSADAY, ROAD,KOL-19","033-22873067","","goodricke@goodricke.com","MR A.N. SINGH","""CAMELLIA, HOUSE""14,GURUSADAY, ROAD,KOL-19","033-22873067","goodricke@goodricke.com","Kolkata"
65,"KARBALA TEA ESTATE","M(19)2768","Dooars","JALPAIGURI","NAGRAKATA","Public Sector",1021.95,755.24,"ITA","P.O: BANARHAT, DIST : JALPAIGURI, WEST BENGAL",,,"ANDREW YULE & COMPANY LIMITED","8,DR.R.P.SARANI,, KOLKATA","","","","SHRI SUNIL MUNSHI","ANDREW YULE &COMPANY LTD., 8,DR.R.P.SARANI,, KOLKATA","9830019050","","Kolkata"
66,"KATALGURI TEA ESTATE","10","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",777.06,495.25,"None","P.O. KATALGURI DIST. JALPAIGURI, (WB)",,,"ARION AGENCIES PVT. LTD.","233, 2ND MILE SEVOKE ROAD,, SILIGURI","03532544704","03532545273","sevokemotors@vsnl.net","NARENDRA BERLIA","M/S ARION AGENCIES PVT. LTD.,, 233, 2ND MILE SEVOKE ROAD,, SILIGURI","03532544704","sevokemotors@vsnl.net","Siliguri"
67,"KATHALDHURA TEA ESTATE","3973","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",80.97,74.93,"ITPA","KATHALDHURA TEA ESTATE, POST-, NAGRAKATA, DIST-JALPAIGURI",,,"KANCHAN TREE PLANTATIONS","PVT. LTD.,, KANCHAN TREE PLANTATION, PVT. LTD., 2ND MILE, SEVOKE, ROAD, SILIGUR734001","03532779338","03532541614","deepakberlia@yahoo.com","MR. DEEPAK BERLIA","KANCHAN TREE PLANTATION, PVT. LTD., 2ND MILE, SEVOKE, ROAD, SILIGUR734001","9434045112","deepakberlia@yahoo.com","Siliguri"
68,"KURTI TEA ESTATE","2616","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",659,417.93,"","PO. NAGRAKATA, JALPAIGURI",,,"QUALITY TEA PRODUCING CO. PVT. LTD.","KOLKATA","03565270409","03322430165","qtpl@vsnl.net","B.K.DALMIA","KOLKATA","03565270409","qtpl@vsnl.net","Kolkata"
69,"LAKHIPARA TEA GARDEN","B-14","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",919.55,627.47,"TRA","P.O. BANARHAT,JALPAIGURI",,,"GOODRICKE GROUP LIMITED","CAMELLIA HOUSE,14 GURUSDAY, ROAD,KOLKATA","03322873067","03322873067","goodricke@vsnl.com","MR.A.N.SINGH","CAMELLIA HOUSE,14 GURUSDAY, ROAD,KOLKATA","03322873067","goodricke@vsnl.com","Kolkata"
70,"LANKAPARA TEA GARDEN","2632","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",1275.7,758.45,"ITA","P.O. RAMJHORA ,JALPAIGURI",,,"DUNCANS INDUSTRIES LIMITED","31,N.S.ROAD.KOLKATA-1","32219158","03322486021","","G.P.GOENKA","31,N.S.ROAD.KOLKATA-1","32219158","","Kolkata"
71,"LOOKSUN TEA ESTATE","2441","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",747.56,424.69,"ITA","PO. CARRON,JALPAIGURI,WEST, BENGAL",,,"GIRIRAJ PLANTATIONS PVT. LTD","2ND MILE SEVOKE ROAD, SILIGURI","03532779337","03532541614","girirajplantation@yahoo.in","DEPAK BERLIA","2ND MILE SEVOKE ROAD, SILIGURI","03532779337","deepakberlia@yahoo.com","Siliguri"
72,"MOGULKATA TEA ESTATE","2524","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",662.84,408.39,"ITA","P.O : BANARHAT, DIST. : JALPAIGURI, WEST BENGAL",,,"BIJOYNAGAR TEA CO. LTD","11,GOVT.PLACE EAST, KOLKATA-700069, WEST BENGAL","033-22487629","033-22486682","btcl@cal2.vsnl.net.in","MR. R.S.CHATTERJEE","C/O: BIJOYNAGAR TEA CO LTD,, 11,GOVT.PLACE EAST, 2ND FLOOR,, KOLKATA-69","9903461349","btcl@cal2.vsnl.net.in","Kolkata"
73,"MORAGHAT TEA ESTATE","2546","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",604.38,513.47,"ITA","BINNAGURI P.O., DIST.JALPAIGURI, WEST BENGAL",,,"BINAGURI TEA CO. PVT.LTD.","24,R.N.MUKHERJEE, ROAD,KOLKATA-1","033-22484395","033-22484885","","BINAGURI TEA CO. PVT.LTD.","24,R.N.MUKHERJEE, ROAD,KOLKATA-1","033-22484395","","Kolkata"
74,"NAGRAKATA TEA ESTATE","2615","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",923.68,549.78,"ITA","P.O. NAGRAKATA,DIST.JALPAIGURI",,,"QUALITY TEA PRODUCING CO. PVT. LTD.","6-A,DR.RAJENDRA PRASAD, SARANI,KOLKATA-1","03322307874","","qualitytea@hotmail.com","MR.SANJAY DALMIA","6-A,DR.RAJENDRA PRASAD, SARANI,KOLKATA-1","9331196774","qualitytea@hotmail.com","Kolkata"
75,"NEW DOOARS","M-26","Dooars","JALPAIGURI","NAGRAKATA","Public Sector",962.35,792.35,"ITA","PO-BANARHAT, DIST-JALPAIGURI, WB",,,"ANDREW YULE & COMPANY LIMITED","YULE HOUSE, DR.R P, SARANI,KOLKATA-700001","033-22428210","033-22434741","","SUNIL MUNSHI","YULE HOUES , DR. RP SARANI,,, KOLKATA-700001","033-22428210","","Kolkata"
76,"NYA SYLEE","RC-31","Dooars","JALPAIGURI","NAGRAKATA","Partnership",786.12,460.77,"ITA","P.O NAGRAKATA, DIST- JALPAIGURI,, W.B",,,"OCTIVIOUS TEA & INDIA LTD.","15, B HEMANTA BASU SARANI,, KOL-1","9331289101","033-22487333","susil@octiviouste.com","MR. SUSHIL KR. JAIN","15, B HEMANTA BASU SARANI,, KOL-1","9331289101","susil@octiviouste.com","Kolkata"
77,"RED BANK","1956","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",551.09,361.63,"ITA","PO-RED BANK,DIST-JALPAIGURI,WB",,,"ROSHANLAL AGARWAL","OM PALACE , ASHRAMPARA,, SILIGURI, E-, Mail :buxadoorsteaestates@gmail.co, m","0353-2640068","0353-2640068","buxadoorsteaestates@gmail.co","N K BASU","O M PALACE, ASHRAMPARA,, SILIGURI, E-, Mail :buxadoorsteaestates@gmail.co, m","0353-2640068","buxadoorsteaestates@gmail.co","Siliguri"
78,"RHEABARI TEA ESTATE","14","Dooars","JALPAIGURI","NAGRAKATA","Partnership",510.14,374.62,"TRA","P.O. BANARHAT DIST JALPAIGURI, WEST BENGAL",,,"ASHOK KUMAR BANSAL","M/S REHEABARI TEA CO. LTD., HINDUSTAN BUILDING 4, CHITRANJAN AVENUE KOLKATA, 72","03322124721","03322129696","info@newteaCo.com","ARVIND KUMAR","M/S REHEABARI TEA CO. LTD., HINDUSTAN BUILDING 4, CHITRANJAN AVENUE KOLKATA, 72","03322124721","info@newteaCo.com","Kolkata"
79,"SURENDRA NAGAR","2415","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",210,172.16,"ITA","PO: REDBANK, DIST-JALPAIGURI,WB",,,"ROSHANLAL AGARWAL","O M PALACE, RAMAKRISHNA, ROAD,ASHRAMPARA,WB, E-, Mail :buxadooarsteaestate@gmail.co, m","9434086855","0353-2640068","buxadooarsteaestate@gmail.co","NK BASU","O M PALACE , OM PALACE ,, ASHRAMPARA, SILIGURI,WB, E-, Mail :buxadooarsteaestate@gmail.co, m","9434086855","buxadooarsteaestate@gmail.co","Siliguri"
80,"AMBIOK TEA ESTATE","236","Darjeeling Hills","DARJEELING","GORUBATHAN","Public Ltd Co",277.06,152.13,"ITPA","P.O.FAGU,DIST.DARJEELING,WEST, BENGAL",,,"ANAND GOPAL TEA CO.","(DARJEELING) PVT.LTD., ANAND GOPAL TEA CO., (DARJEELING) PVT. LTD. BESIDES HO, HOTEL GATEWAY,1ST, FLOOR ,SEVOKE ROAD,SILIGURI Tel :","03532537016","03532430017","sanjoyambiok@yahoo.co.in","MR. SANJAY MITTAL","ANAND GOPAL TEA CO., (DARJEELING) PVT. LTD. BESIDES, FLOOR ,SEVOKE ROAD,SILIGURI, 9434042112","","sanjoyambiok@yahoo.co.in","Siliguri"
81,"FAGU","2628","Darjeeling Hills","DARJEELING","GORUBATHAN","Public Ltd Co",227.11,190.15,"TRA","P.O. FAGU, DIST- DARJEELING.",,,"GBC ENTERPRISE LTD.","VIKRAM APPARTMENT ,B, 1,MEGHNATH SAHA, SARANI,PRODHAN NAGAR.","0353 2514388/033 22310370","0353 2514388/033 22310370","gbc.siliguri@gmail.com","KRISHNENDU DAS","VIKRAM APPARTMENT ,B, 1,MEGHNATH SAHA, SARANI,PRODHAN NAGAR.","0353 2514388/033 22310370","gbc.siliguri@gmail.com","Other / Unspecified"
82,"MISSION HILL","262","Darjeeling Hills","DARJEELING","GORUBATHAN","Public Ltd Co",380.12,244.16,"ITPA","PO-FAGU,DIST-DARJEELING,PIN-, 735231.",,,"ASHA TEA COMPANY PVT LTD","PO-MAL,DIST-JALPAIGURI,WB.","9434051938","03562255072","missionhill.tea@gmail.com","MR SUBHADEEP ROY","PO-MAL,DIST-JALPAIGURI,WB, E-, Mail :missionhill.darjeelingtea@gmail., com","9647700306","","Jalpaiguri"
83,"MOHAN MAJHUA TEA ESTATE","2047","Darjeeling Hills","DARJEELING","GORUBATHAN","Proprietorship",52.2,52.2,"TRA","P.O. KURSEONG DIST. DARJEELING, (WB)",,,"MAHANADI TEA COMPANY PVT.","LTD., 24/1A, BALLY GANJ CIRCULAR, ROAD UTTRAYAN BUILDING, KOLKATA-19","9330124797","","jungpana@rediffmail.com","SHANTANU KEJRIWAL","24/1A, BALLY GANJ CIRCULAR, ROAD UTTRAYAN BUILDING, KOLKATA-19","9330124797","jungpana@rediffmail.com","Kolkata"
84,"NARBADA MAJHUA TEA ESTATE","210","Darjeeling Hills","DARJEELING","GORUBATHAN","Proprietorship",48,38.79,"","P.O. KURSEONG DIST. DARJEELING, WEST BENGAL",,,"4","","","","","0","LTD.                                24/A BALLYGUNJ CIRCULAR, 24/A BALLYGUNJ CIRCULAR             ROAD UTTRAYAN BUILDING, ROAD UTTRAYAN BUILDING              KOLKATA-19, KOLKATA-19                          Tel :09330124797","09330124797","jungpana@rediffmail.com","Kolkata"
85,"SYLEE","C-59","Darjeeling Hills","DARJEELING","GORUBATHAN","Public Ltd Co",1033.62,591.44,"ITA","P.O. SAILIHAT,DIST-JALPAIGURI,WB",,,"OCTIVIOUS TEA & INDIA LTD.","15,B HEMANTA BASU SARANI,KOL 15,B, -1","9331289101","033-2248733","octavius@octaviustea.com","MR. SUSHIL KR JAIN","HEMANTA BASU SARANI,KOL, -1","033-221741","susil@octaviustea.com","Kolkata"
86,"UPPER FAGU","2327","Darjeeling Hills","DARJEELING","GORUBATHAN","Public Ltd Co",450,121.3,"ITA","PO-GORUBATHAN,DIST-DARJEELING,, WEST BENGAL",,,"SOMBARIA CO LTD","3, NETAJI SUBHAS ROAD,, KOLKATTA-700 001","033-22488602","033-22483449","upperfagu@yahoo.co.in","MR ASHOK CHATTERJEE","3, NETAJI SUBHAS ROAD,, KOLKATTA-700 001","9836075780","upperfagu@yahoo.co.in","Kolkata"
87,"AMBOOTIA TEA ESTATE","2020","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",966.7,346.89,"TRA","AMBOOTIA TEA ESTATE P.O., KURSEONG DIST DARJEELING",,,"DARJEELING ORGANIC TEA","ESTATES PVT. LTD., 20 COAL BERTH, HOBKON ROAD, KOLKATA700088","0332439167","033 2439167","ambootiagarden@gmail.com","MR SANJOY PRAKASH BANSAL","20 COAL BERTH, HOBKON ROAD, KOLKATA700088","0332439167","ambootiagarden@gmail.com","Kolkata"
88,"CASTLETON TEA GARDEN","2025","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",254.58,172.96,"ITA","PO-KURSEONG,DIST-, DARJEELING,WB",,,"AMGOORIE INDIA LIMITED","14-GURUSADAY ROAD,KOL-19","03322874689","03322870204","hr@goodricke.com","MR A N SINGH","14-GURUSADAY ROAD,KOL-19","03322874689","hr@goodricke.com","Kolkata"
89,"DOOTERIAH TEA ESTATE","2335","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",1264.52,443.92,"TRA","P.O. GHOOM DIST. DARJEELING, WEST BENGAL",,,"K.D. SINGH","10TH FLOOR KRISHNA BUILDING, 224 AJC BOSE ROAD KOLKATA-17","03364505743","03322891372","dtkv@vsnl.net","K.D. SINGH","10TH FLOOR KRISHNA BUILDING, 224 AJC BOSE ROAD KOLKATA-17","03364505743","dtkv@vsnl.net","Kolkata"
90,"GIDAPAHAR TEA ESTATE","311","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",119.57,94.34,"DTA","PO:KURSEONG, DIST. DARJEELING, STATE:WEST BENGAL, PIN: 734203",,,"H.K.SHAW","GIDAPAHAR T.E, P.O : KURSEONG, DIST. DARJEELING, STATE : WEST BENGAL","0354-2338014","","giddapahar@rediffmail.com","NOT APPLICABLE","NOT APPLICABLE(N.A)","","","Darjeeling"
91,"GOOMTEE TEA ESTATE","2157","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",234.7,134,"TRA","P.O. KURSEONG DIST. DARJEELING, WEST BENGAL",,,"MAHANADI TEA COMPANY PVT.","LTD., 24/1A, BALLY GANJ CIRCULAR, ROAD UTTRAYAN BUILDING, KOLKATA-19","09330124797","","jungpana@rediffmail.com","SANTANU KRJRIWAL","24/1A, BALLY GANJ CIRCULAR, ROAD UTTRAYAN BUILDING, KOLKATA-19","09330124797","jungpana@rediffmail.com","Kolkata"
92,"JOGMAYA TEA ESTATE","309","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",207.54,107.27,"ITA","P.O. GAYABARI DIST. DARJEELING, WEST BENGAL 734223",,,"JOGMAYA TEA ESTATE PVT. LTD.","8A, WOOD STREET KOLKATA-16, WB","03322817160","03322800283","indiateaexp@vsnl.net","M/S NAINA JOHAR","8A, WOOD STREET KOLKATA-16, WB","03322817160","indiateaexp@vsnl.net","Kolkata"
93,"JUNGPANA","0454","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",101.08,75.71,"TRA","PO-KURSEONG,, DIST-DARJEELING,, WEST BENGAL, rungamattee.jung@rediffmail.com",,,"JUTE & STORES LTD.","90/31,DH ROAD KOLKATA-700038","9330124797","","jungpana@rediffmail.com","SANTANU KEJRIWAL","90/31,DHROAD KOLKATA-700038","9330124797","jungpana@rediffmail.com","Kolkata"
94,"LONGVIEW TE","2153","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",1020.62,500.15,"ITA","PO.PANCHABARI,DARJEELING, WEST, BENGAL",,,"LONGVIEW TEA & AGRO LIMITED","15 COLLEGE STREET, KOLKATA -, 700012","","03322198619","longview123@gmail.com","MOHAN KRISHNAN","BARSANA,MATIGARA, SILIGURI","9734161819","longview123@gmail.com","Kolkata"
95,"MAKAIBARI TEAESTATE","1605","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",570.21,248.18,"DTA","P.O. KURSEONG DIST. DARJEELING,, WEST BENGAL 734203",,,"MAKAIBARITEA 7 TRADING CO. PVT. LTD.","MAKAIBARI TEA ESTATE P.O., KURSEONG DIST DARJEELING, WEST BENGAL","9733004577","","makaibari.rajah@gmail.com","KULDIP BASU","MAKAIBARI TEA ESTATE P.O., KURSEONG DIST DARJEELING, WEST BENGAL","9830504586","kbasu@btinternate.in","Darjeeling"
96,"MONTEVIOT TEA ESTATE","73","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Partnership",76.6,59.91,"TRA","MONTEVIOT TEA ESTATE P.O:, KURSEONG DIST: DARJEELING",,,"MR. SANJAY BANSAL","DARJEELING ORGANIC EKTA PVT. DAR, LTD 20, COAL BARTH , HOBKON, ROAD, KOLKATA 700088","9007883169","03324391927","ambplantation@gmail.com","MR. KRISHNENDU CHATTERJEE","JEELING ORGANIC EKTA PVT., LTD 20, COAL BARTH , HOBKON, ROAD, KOLKATA 700088","9007883169","ambplantation@gmail.com","Kolkata"
97,"MOONDAKOTEE TEA ESTATE","2317","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",563.36,298.78,"DTA","P.O-SONADA ,DIST- JALPAIGURI, 734219",,,"MR. SANJAY BANSAL","MOONDAKATEE TEA CO. PVT., LTD., 20 COAL BERTH HOBUKAN ROAD, KOLKATA 88","033-24391927","","","K.CHATTERJEE","20 COAL BERTH,HOBOKEN, RD,KOL-88,KOLKATA-1","9007883165","amb.plantation@yahoo.com","Kolkata"
98,"MULLOTAR TEA ESTATE","1302","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",448.94,172.69,"DTA","P.O:MAHANADI, DIST.DARJEELING, WEST BENGAL.",,,"MR. SANJAY BANSAL","20,COAL BERTH, HOBOKEN ROAD, KOLKATA-88","033-24391927","033-24391927","amb.plantation@yahoo.com","SHRI K.CHATTERJEE","20,COAL BERTH, HOBOKEN ROAD, KOLKATA-88","033-24391927","amb.plantation@yahoo.com","Kolkata"
99,"POBONG TEA ESTATE","2529","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",520.84,166.82,"DTA","P.O: GHOOM, DIST.DARJEELING, WEST BENGAL",,,"SRI D.PODDAR & SRI MANOJ","PODDAR, HMP HOUSE,, 4 FAIRLIE PLACE, KOLKATA-01 (W.B)","033-22310271","","hmptea@gmail.com","SRI F.L.BABINALL","HMP HOUSE,4 FAIRLIE, PLACE,KOLKATA, PIN-7000019(W.B)","033-22310271","hmptea@gmail.com","Kolkata"
100,"POTONG","2497","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",411.93,138.44,"None","P.O. BELGACHI,DIST-DARJEELING,WB",,,"UNITED NATUREX DOT COM (P) LTD","USHA KIRAN BUILDING,, (7THFLOOR) FLAT 7A. 12A, ABANINDRANATH THAKUR, SARANI,KOL-17","033-22822158","033-22822159","","MR. K.C. AGARWAL","USHA KIRAN BUILDING,, (7THFLOOR) FLAT 7A. 12A, ABANINDRANATH THAKUR, SARANI,KOL-17","033-22822158","","Kolkata"
101,"ROHINI TEA ESTATE","2074","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",426,142,"ITA","KURSEONG,DARJEELING,WEST, BENGAL",,,"SONA TEA LIMITED","ARJUN ENCLAVE,TEA AUCTION, ROAD,SILIGURI","03542510831","03532510833","gopaldhara@gmail.com","S.K.SARIA","ARJUN ENCLAVE,TEA AUCTION","03542510831","shivksaria@gmail.com","Siliguri"
102,"SELIMHILL","1157","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",398.78,176.51,"TRA","PO-TINDHARIA, DIST -, DARJEELING,WB",,,"THE PEERLESS TEA &","INDUSTRIES LTD, 240B,AJC ROADBOSE ROAD,3RD, FLOOR, KOLKATA-7000,WB20","033-22832947","033-2282943","","MAHENDRA AGARWAALA","240B AJC ROAD BOSE ROAD 3RD, FLOOR, KOLKATA-700020,WB","033-22832947","","Kolkata"
103,"SEPOYDHOORAH TEA ESTATE","DJ-127","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Partnership",317.86,138.86,"DTA","P.O.- TINDHARIA,DIST- DARJEELING",,,"MR. SANJAY BANSAL","SEPAYDHOORAH TEA CO PVT., LTD., 20 COAL BERTH HOBUKAN ROAD, KOLKATA 88","033-24391927","","","K.CHATTERJEE","20 COAL BERTH,HOBOKEN, RD,KOL-88,KOLKATA-1","9007883165","amb.plantation@yahoo.com","Kolkata"
104,"SINGELL TEA ESTATE","47","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",554.54,242.46,"TRA","SINGELL TEA ESTATE P.O ST. MARY'S, KURSEONG DIST: DARJEELING",,,"SINGELL TEA &AGRICULTURAL","INDUSTRIES LTD., SINGELL TEA &AGRICULTURAL, INDUSTRIES LTD CHOWRANGEE, MANSION 30, J.N ROAD KOLKATA, 70 0016","033-22291660,033-22293324","033-22496879","tpi@vsnl.com","MR. N SENGUPTA","SINGELL TEA &AGRICULTURAL, INDUSTRIES LTD CHOWRANGEE, MANSION 30, J.N ROAD KOLKATA, 70 0016","033-22291660,033-22293324","tpi@vsnl.com","Kolkata"
105,"SIVITAR TEA ESTATE","1303","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Proprietorship",525.3,148.92,"TRA","P.O. MAHANANDI,DIST - DARJEELING",,,"MR. SANJAY BANSAL","SIVITAR TEA PVT. LTD., 20 COAL BERTH,HOBOKEN, RD,KOL -88,KOLKATA-1","03324391927","","","K.CHATTERJEE","20 COAL BERTH,HOBOKEN, RD,KOL-88,KOLKATA-1","9007883165","amb.plantation@yahoo.com","Kolkata"
106,"SPRINGSIDE","1155","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Public Ltd Co",220.67,146.02,"DTA","PQST- KURSEONG DIST -, DARJEELING",,,"AMGOORIE INDIA LIMITED","14 GURUSADAY ROAD.KOLKATA-, 19","033 22873067","","hr@goodricke.com","A.N. SINGH","14 GURUSADAY ROAD.KOLKATA-, 19","00 22873067","hr@goodricke.com","Kolkata"
107,"TINDHARIA TEA ESTATE","45","Darjeeling Hills / Terai","DARJEELING","KURSEONG","Partnership",343.7,154.91,"DTA","P.O : TINDHARIA, DIST : DARJEELING, WEST BENGAL-734223",,,"SRI A.KANORIA & S.KANORIA","10, PRINCEP STREET, KOLKATA-72","033-22129750","033-22256826","balaji@cal.vsnl.net.in","SRI A.KANORIA & S.KANORIA","10, PRINCEP STREET, KOLKATA-72","033-22129750","balaji@cal.vsnl.net.in","Kolkata"
108,"ARYA TEA ESTATE","2192","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",228.65,123.26,"TRA","RAJBARI-P.O DARJEELING-I, WEST, BENGAL",,,"RAM KISHORE BANSAL","KOLKATA-01","033-2287 8631/34/35","","aryatea@vsnl.net","RAM KISHORE BANSAL","KOLKATA-01","033-2287 8631/34/35","aryatea@vsnl.net","Kolkata"
109,"BADAMTAM TEA ESTATE","B-86","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",880.1,321.05,"TRA","P.O. LEBONG DIST. DARJEELING, WEST BENGAL",,,"GOODRICKE GROUP LIMITED","GGL, CAMELLIA HOUSE 14, GURUSADAY ROAD KOLKATA-19, E-, Mail :subrotobanerjee@goodricke.co, m","0332287257","","subrotobanerjee@goodricke.co","A.N. SINGH","GGL, CAMELLIA HOUSE 14, GURUSADAY ROAD KOLKATA-19, E-, Mail :subrotobanerjee@goodricke.co, m","0332287257","subrotobanerjee@goodricke.co","Kolkata"
110,"BANNOCKBURN TEA ESTATE","F-8/6","Darjeeling Hills","DARJEELING","DARJEELING","Proprietorship",283.8,136.58,"TRA","P.O. LEBONG DIST. DARJEELING (WB)",,,"B.D. TEA ESTATES PVT. LTD.","M/S B.D. TEA ESTATES PVT. LTD, CRESCENT TOWER 7TH FLOOR, 229AJC BOSE ROAD KOLKATA-20","03322817486","03322817486","bdtcpt@dataone.in","B. K. TIBREWAL","M/S B.D. TEA ESTATES PVT. LTD, CRESCENT TOWER 7TH FLOOR, 229AJC BOSE ROAD KOLKATA-20","03322817486","bdtcpt@dataone.in","Kolkata"
111,"BARNESBEG TEA GARDEN","B-90","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",288.68,132,"ITA","DARJEELING P.O., NO. 42 POSTBOX-",,,"GOODRICKE GROUP LIMITED","CAMELILIA HOUSE","","","","A. N. SINGH","CAMELILIA HOUSE","","","Other / Unspecified"
112,"DILARAM","2296","Darjeeling Hills","DARJEELING","DARJEELING","Public Ltd Co",358.08,196.82,"ITA","PO TUNG, DIST DARJEELING, WB",,,"AMGOORIE INDIA LIMITED","CAMELLIA HOUSE , 14,, GURUSADAY ROAD, KOLKATA-19","033-22873067","033-22872577","ansingh@goodricke.com","A N SINGH","CAMELLIA HOUSE, 14, GURUSADAY ROAD, KOLKATA-19","033-22873067","ansingh@goodricke.com","Kolkata"
